site,total_flow_years,no_flow_years
1109070,38,21
1311500,39,30
1379530,32,15
1401650,38,13
1407500,39,21
1613050,39,10
1653600,38,29
1658500,39,12
1660920,34,26
1661050,38,21
2047500,37,26
2077200,39,22
2084160,33,17
2084557,39,18
2096846,30,17
2125000,31,21
2176500,39,27
2216180,35,34
2228500,36,18
2231342,39,34
2231600,39,25
2232200,39,24
2236500,39,20
2236900,39,25
2237293,38,24
2256500,39,24
2263869,35,33
2264000,36,24
2264100,39,12
2266200,38,26
2266205,32,24
2266500,35,12
2291580,31,28
2292900,37,24
2294491,35,31
2297155,38,17
2298202,32,14
2298760,30,19
2300100,39,12
2301750,34,17
2302500,39,10
2303350,39,38
2303400,38,31
2303420,39,31
2303800,39,30
2304500,39,18
2306500,39,11
2307359,39,35
2309848,39,37
2310947,38,23
2311500,35,16
2312200,39,19
2318700,37,30
2321500,39,10
2423130,30,14
2462500,35,26
2462951,34,28
3228300,30,16
3237280,39,25
3238500,32,20
3291780,39,28
3295890,36,11
3303300,39,22
3320500,39,15
3357350,39,26
3364500,39,16
3368000,39,29
3378000,39,31
3378550,39,13
3378635,39,28
3380500,39,16
3384450,39,21
4072150,30,13
4185440,30,15
4199155,30,26
5050000,39,15
5053000,39,12
5054500,39,13
5060500,39,30
5076000,38,13
5090000,39,13
5116500,39,12
5120500,39,13
5123400,39,36
5127000,39,14
5439000,39,12
5454000,39,10
5502000,39,12
5503800,39,29
5507600,39,29
5527800,39,12
5533400,32,18
5536255,39,17
5540195,30,24
5573540,36,11
5577500,39,26
5588000,39,17
5590800,39,17
5591550,38,30
5591700,38,27
5592050,39,12
5592575,30,28
5592900,39,28
5593575,39,17
5593900,39,21
5595730,39,31
5597500,39,32
6108000,39,11
6130500,39,11
6154400,39,30
6177500,34,19
6317000,39,11
6324970,39,17
6332515,39,15
6335500,39,10
6337000,39,12
6339100,39,10
6344600,39,20
6353000,38,20
6354882,32,27
6355500,39,26
6359500,39,18
6360500,38,22
6395000,39,12
6400000,39,36
6400875,35,34
6404000,39,23
6423010,30,27
6425100,38,26
6425500,39,29
6426500,34,12
6436198,35,10
6440200,30,29
6441500,39,31
6445685,31,13
6446000,39,17
6447000,39,20
6449000,39,13
6453600,39,14
6468170,39,22
6468250,33,14
6469400,39,18
6470800,39,22
6470878,37,10
6471000,38,20
6471200,38,29
6473000,39,10
6476000,39,11
6477500,39,19
6709530,34,22
6821500,39,27
6823500,39,33
6827500,39,37
6828500,39,37
6835500,39,10
6844500,39,12
6844900,30,28
6846500,39,38
6847500,39,30
6847900,39,28
6848500,39,30
6860000,39,33
6861000,39,15
6862700,39,25
6862850,37,30
6863500,39,12
6866900,37,24
6871000,39,27
6871500,39,13
6873000,39,24
