currentclimyear,noflowdays,totaldays,annualfractionnoflow,zeroflowfirst,gage_ID
1980,0,365,0,NA,1097300
1981,0,365,0,NA,1097300
1982,0,365,0,NA,1097300
1983,0,366,0,NA,1097300
1984,0,365,0,NA,1097300
1985,0,365,0,NA,1097300
1986,0,365,0,NA,1097300
1987,0,366,0,NA,1097300
1988,0,365,0,NA,1097300
1989,0,365,0,NA,1097300
1990,0,365,0,NA,1097300
1991,0,366,0,NA,1097300
1992,0,365,0,NA,1097300
1993,0,365,0,NA,1097300
1994,0,365,0,NA,1097300
1995,0,366,0,NA,1097300
1996,0,365,0,NA,1097300
1997,0,365,0,NA,1097300
1998,0,365,0,NA,1097300
1999,0,366,0,NA,1097300
2000,0,365,0,NA,1097300
2001,0,365,0,NA,1097300
2002,0,365,0,NA,1097300
2003,0,366,0,NA,1097300
2004,0,365,0,NA,1097300
2005,0,365,0,NA,1097300
2006,0,365,0,NA,1097300
2007,0,366,0,NA,1097300
2008,0,365,0,NA,1097300
2009,0,365,0,NA,1097300
2010,0,365,0,NA,1097300
2011,0,366,0,NA,1097300
2012,0,365,0,NA,1097300
2013,0,365,0,NA,1097300
2014,0,365,0,NA,1097300
2015,0,366,0,NA,1097300
2016,13,360,0.03611111111111111,118,1097300
2017,0,365,0,NA,1097300
1980,0,365,0,NA,1101000
1981,0,365,0,NA,1101000
1982,0,365,0,NA,1101000
1983,0,366,0,NA,1101000
1984,0,365,0,NA,1101000
1985,0,365,0,NA,1101000
1986,0,365,0,NA,1101000
1987,0,366,0,NA,1101000
1988,0,365,0,NA,1101000
1989,0,365,0,NA,1101000
1990,0,365,0,NA,1101000
1991,0,366,0,NA,1101000
1992,0,365,0,NA,1101000
1993,0,365,0,NA,1101000
1994,0,365,0,NA,1101000
1995,0,366,0,NA,1101000
1996,0,365,0,NA,1101000
1997,0,365,0,NA,1101000
1998,0,365,0,NA,1101000
1999,0,366,0,NA,1101000
2000,0,365,0,NA,1101000
2001,0,365,0,NA,1101000
2002,0,365,0,NA,1101000
2003,0,366,0,NA,1101000
2004,0,365,0,NA,1101000
2005,0,365,0,NA,1101000
2006,0,365,0,NA,1101000
2007,0,366,0,NA,1101000
2008,0,365,0,NA,1101000
2009,0,365,0,NA,1101000
2010,0,365,0,NA,1101000
2011,0,366,0,NA,1101000
2012,0,365,0,NA,1101000
2013,0,365,0,NA,1101000
2014,0,365,0,NA,1101000
2015,0,366,0,NA,1101000
2016,13,365,0.03561643835616438,152,1101000
2017,0,365,0,NA,1101000
1980,47,365,0.12876712328767123,161,1109070
1981,0,365,0,NA,1109070
1982,0,365,0,NA,1109070
1983,0,366,0,NA,1109070
1984,0,365,0,NA,1109070
1985,0,365,0,NA,1109070
1986,0,365,0,NA,1109070
1987,26,366,0.07103825136612021,126,1109070
1988,5,365,0.0136986301369863,185,1109070
1989,0,365,0,NA,1109070
1990,0,365,0,NA,1109070
1991,5,321,0.01557632398753894,112,1109070
1992,0,252,0,NA,1109070
1993,52,365,0.14246575342465753,108,1109070
1994,0,365,0,NA,1109070
1995,24,366,0.06557377049180328,146,1109070
1996,0,365,0,NA,1109070
1997,53,365,0.14520547945205478,125,1109070
1998,0,365,0,NA,1109070
1999,69,366,0.1885245901639344,100,1109070
2000,0,365,0,NA,1109070
2001,0,365,0,NA,1109070
2002,50,365,0.136986301369863,116,1109070
2003,0,366,0,NA,1109070
2004,0,365,0,NA,1109070
2005,22,365,0.06027397260273973,130,1109070
2006,0,365,0,NA,1109070
2007,38,366,0.10382513661202186,151,1109070
2008,0,365,0,NA,1109070
2009,0,365,0,NA,1109070
2010,0,365,0,NA,1109070
2011,0,366,0,NA,1109070
2012,0,365,0,NA,1109070
2013,0,365,0,NA,1109070
2014,58,365,0.1589041095890411,142,1109070
2015,14,366,0.03825136612021858,156,1109070
2016,76,364,0.2087912087912088,114,1109070
2017,0,365,0,NA,1109070
1980,5,365,0.0136986301369863,166,1110000
1981,0,365,0,NA,1110000
1982,0,365,0,NA,1110000
1983,0,366,0,NA,1110000
1984,0,365,0,NA,1110000
1985,0,365,0,NA,1110000
1986,0,365,0,NA,1110000
1987,0,366,0,NA,1110000
1988,0,365,0,NA,1110000
1989,0,365,0,NA,1110000
1990,0,365,0,NA,1110000
1991,0,366,0,NA,1110000
1992,0,365,0,NA,1110000
1993,0,365,0,NA,1110000
1994,0,365,0,NA,1110000
1995,0,366,0,NA,1110000
1996,0,365,0,NA,1110000
1997,0,365,0,NA,1110000
1998,0,365,0,NA,1110000
1999,0,366,0,NA,1110000
2000,0,365,0,NA,1110000
2001,0,365,0,NA,1110000
2002,0,365,0,NA,1110000
2003,0,366,0,NA,1110000
2004,0,365,0,NA,1110000
2005,0,365,0,NA,1110000
2006,0,365,0,NA,1110000
2007,0,366,0,NA,1110000
2008,0,365,0,NA,1110000
2009,0,365,0,NA,1110000
2010,0,365,0,NA,1110000
2011,0,366,0,NA,1110000
2012,0,365,0,NA,1110000
2013,0,365,0,NA,1110000
2014,0,365,0,NA,1110000
2015,0,366,0,NA,1110000
2016,0,365,0,NA,1110000
2017,0,365,0,NA,1110000
1980,0,365,0,NA,1174500
1981,0,365,0,NA,1174500
1982,0,365,0,NA,1174500
1983,0,366,0,NA,1174500
1984,0,365,0,NA,1174500
1985,0,365,0,NA,1174500
1986,0,365,0,NA,1174500
1987,0,366,0,NA,1174500
1988,0,365,0,NA,1174500
1989,0,365,0,NA,1174500
1990,0,365,0,NA,1174500
1991,0,366,0,NA,1174500
1992,0,365,0,NA,1174500
1993,0,365,0,NA,1174500
1994,0,365,0,NA,1174500
1995,45,366,0.12295081967213115,144,1174500
1996,0,365,0,NA,1174500
1997,0,365,0,NA,1174500
1998,2,365,0.005479452054794521,173,1174500
1999,48,366,0.13114754098360656,116,1174500
2000,0,365,0,NA,1174500
2001,19,365,0.052054794520547946,155,1174500
2002,60,365,0.1643835616438356,136,1174500
2003,0,366,0,NA,1174500
2004,0,365,0,NA,1174500
2005,0,365,0,NA,1174500
2006,0,365,0,NA,1174500
2007,0,366,0,NA,1174500
2008,0,365,0,NA,1174500
2009,0,365,0,NA,1174500
2010,0,365,0,NA,1174500
2011,0,366,0,NA,1174500
2012,0,365,0,NA,1174500
2013,0,365,0,NA,1174500
2014,0,365,0,NA,1174500
2015,0,366,0,NA,1174500
2016,34,365,0.09315068493150686,116,1174500
2017,0,365,0,NA,1174500
1981,0,148,0,NA,1195100
1982,0,365,0,NA,1195100
1983,0,366,0,NA,1195100
1984,0,365,0,NA,1195100
1985,0,365,0,NA,1195100
1986,0,365,0,NA,1195100
1987,0,366,0,NA,1195100
1988,0,365,0,NA,1195100
1989,0,365,0,NA,1195100
1990,0,365,0,NA,1195100
1991,1,366,0.00273224043715847,113,1195100
1992,0,365,0,NA,1195100
1993,0,365,0,NA,1195100
1994,0,365,0,NA,1195100
1995,0,366,0,NA,1195100
1996,0,365,0,NA,1195100
1997,0,365,0,NA,1195100
1998,0,365,0,NA,1195100
1999,4,366,0.01092896174863388,126,1195100
2000,0,365,0,NA,1195100
2001,0,365,0,NA,1195100
2002,0,365,0,NA,1195100
2003,0,366,0,NA,1195100
2004,0,365,0,NA,1195100
2005,2,365,0.005479452054794521,166,1195100
2006,0,365,0,NA,1195100
2007,5,366,0.01366120218579235,125,1195100
2008,0,365,0,NA,1195100
2009,0,365,0,NA,1195100
2010,8,365,0.021917808219178082,102,1195100
2011,0,366,0,NA,1195100
2012,0,365,0,NA,1195100
2013,0,365,0,NA,1195100
2014,0,365,0,NA,1195100
2015,0,366,0,NA,1195100
2016,0,365,0,NA,1195100
2017,0,361,0,NA,1195100
1980,0,365,0,NA,1310500
1981,0,365,0,NA,1310500
1982,0,365,0,NA,1310500
1983,0,366,0,NA,1310500
1984,0,365,0,NA,1310500
1985,0,365,0,NA,1310500
1986,0,365,0,NA,1310500
1987,0,366,0,NA,1310500
1988,9,365,0.024657534246575342,137,1310500
1989,0,365,0,NA,1310500
1990,0,365,0,NA,1310500
1991,0,366,0,NA,1310500
1992,0,365,0,NA,1310500
1993,0,365,0,NA,1310500
1994,0,365,0,NA,1310500
1995,44,366,0.12021857923497267,132,1310500
1996,0,365,0,NA,1310500
1997,0,365,0,NA,1310500
1998,0,365,0,NA,1310500
1999,42,366,0.11475409836065574,108,1310500
2005,42,316,0.13291139240506328,147,1310500
2006,0,365,0,NA,1310500
2007,0,366,0,NA,1310500
2008,0,365,0,NA,1310500
2009,0,365,0,NA,1310500
2010,0,183,0,NA,1310500
2012,0,182,0,NA,1310500
2013,0,365,0,NA,1310500
2014,0,365,0,NA,1310500
2015,0,366,0,NA,1310500
2016,17,365,0.04657534246575343,150,1310500
2017,0,365,0,NA,1310500
1980,258,365,0.7068493150684931,78,1311500
1981,348,365,0.9534246575342465,1,1311500
1982,332,365,0.9095890410958904,1,1311500
1983,234,366,0.639344262295082,1,1311500
1984,182,365,0.4986301369863014,166,1311500
1985,313,365,0.8575342465753425,3,1311500
1986,295,365,0.8082191780821918,1,1311500
1987,270,366,0.7377049180327869,44,1311500
1988,280,365,0.7671232876712328,1,1311500
1989,15,365,0.0410958904109589,11,1311500
1990,18,365,0.049315068493150684,110,1311500
1991,134,366,0.366120218579235,107,1311500
1992,119,365,0.32602739726027397,3,1311500
1993,126,365,0.3452054794520548,85,1311500
1994,46,365,0.12602739726027398,86,1311500
1995,133,366,0.3633879781420765,89,1311500
1996,0,365,0,NA,1311500
1997,10,365,0.0273972602739726,195,1311500
1998,69,365,0.18904109589041096,177,1311500
1999,77,366,0.2103825136612022,98,1311500
2000,5,365,0.0136986301369863,201,1311500
2001,173,365,0.473972602739726,118,1311500
2002,71,365,0.19452054794520549,5,1311500
2003,0,366,0,NA,1311500
2004,0,365,0,NA,1311500
2005,48,365,0.13150684931506848,132,1311500
2006,0,365,0,NA,1311500
2007,54,366,0.14754098360655737,108,1311500
2008,71,365,0.19452054794520549,63,1311500
2009,6,365,0.01643835616438356,106,1311500
2010,40,365,0.1095890410958904,113,1311500
2011,0,366,0,NA,1311500
2012,0,365,0,NA,1311500
2013,0,365,0,NA,1311500
2014,0,365,0,NA,1311500
2015,0,366,0,NA,1311500
2016,0,365,0,NA,1311500
2017,0,365,0,NA,1311500
1980,164,365,0.44931506849315067,202,1378500
1981,176,365,0.4821917808219178,1,1378500
1982,0,365,0,NA,1378500
1983,0,366,0,NA,1378500
1984,0,365,0,NA,1378500
1985,0,365,0,NA,1378500
1986,0,365,0,NA,1378500
1987,0,366,0,NA,1378500
1988,0,365,0,NA,1378500
1989,0,365,0,NA,1378500
1990,0,365,0,NA,1378500
1991,0,366,0,NA,1378500
1992,0,365,0,NA,1378500
1993,5,365,0.0136986301369863,226,1378500
1994,0,365,0,NA,1378500
1995,36,366,0.09836065573770492,168,1378500
1996,0,365,0,NA,1378500
1997,2,365,0.005479452054794521,234,1378500
1998,27,365,0.07397260273972603,257,1378500
1999,94,366,0.2568306010928962,72,1378500
2000,0,365,0,NA,1378500
2001,2,365,0.005479452054794521,339,1378500
2002,5,365,0.0136986301369863,8,1378500
2003,0,366,0,NA,1378500
2004,0,365,0,NA,1378500
2005,0,365,0,NA,1378500
2006,0,365,0,NA,1378500
2007,0,366,0,NA,1378500
2008,0,365,0,NA,1378500
2009,0,365,0,NA,1378500
2010,0,365,0,NA,1378500
2011,0,366,0,NA,1378500
2012,0,365,0,NA,1378500
2013,0,365,0,NA,1378500
2014,0,365,0,NA,1378500
2015,0,366,0,NA,1378500
2016,0,365,0,NA,1378500
2017,0,365,0,NA,1378500
1980,41,336,0.12202380952380952,161,1379530
1981,0,341,0,NA,1379530
1982,4,329,0.0121580547112462,191,1379530
1983,25,278,0.08992805755395683,129,1379530
