currentclimyear,noflowdays,totaldays,annualfractionnoflow,zeroflowfirst,gage_ID
1980,0,365,0,NA,1097300
1981,0,365,0,NA,1097300
1982,0,365,0,NA,1097300
1983,0,366,0,NA,1097300
1984,0,365,0,NA,1097300
1985,0,365,0,NA,1097300
1986,0,365,0,NA,1097300
1987,0,366,0,NA,1097300
1988,0,365,0,NA,1097300
1989,0,365,0,NA,1097300
1990,0,365,0,NA,1097300
1991,0,366,0,NA,1097300
1992,0,365,0,NA,1097300
1993,0,365,0,NA,1097300
1994,0,365,0,NA,1097300
1995,20,366,0.0546448087431694,147,1097300
1996,0,365,0,NA,1097300
1997,0,365,0,NA,1097300
1998,0,365,0,NA,1097300
1999,25,366,0.06830601092896176,109,1097300
2000,0,365,0,NA,1097300
2001,0,365,0,NA,1097300
2002,11,365,0.030136986301369864,140,1097300
2003,0,366,0,NA,1097300
2004,0,365,0,NA,1097300
2005,0,365,0,NA,1097300
2006,0,365,0,NA,1097300
2007,1,366,0.00273224043715847,190,1097300
2008,0,365,0,NA,1097300
2009,0,365,0,NA,1097300
2010,6,365,0.01643835616438356,160,1097300
2011,0,366,0,NA,1097300
2012,0,365,0,NA,1097300
2013,0,365,0,NA,1097300
2014,0,365,0,NA,1097300
2015,23,366,0.06284153005464481,151,1097300
2016,21,360,0.058333333333333334,114,1097300
2017,0,365,0,NA,1097300
1980,0,365,0,NA,1101000
1981,0,365,0,NA,1101000
1982,0,365,0,NA,1101000
1983,0,366,0,NA,1101000
1984,0,365,0,NA,1101000
1985,0,365,0,NA,1101000
1986,0,365,0,NA,1101000
1987,0,366,0,NA,1101000
1988,0,365,0,NA,1101000
1989,0,365,0,NA,1101000
1990,0,365,0,NA,1101000
1991,0,366,0,NA,1101000
1992,0,365,0,NA,1101000
1993,2,365,0.005479452054794521,155,1101000
1994,0,365,0,NA,1101000
1995,12,366,0.03278688524590164,148,1101000
1996,0,365,0,NA,1101000
1997,0,365,0,NA,1101000
1998,0,365,0,NA,1101000
1999,16,366,0.04371584699453552,147,1101000
2000,0,365,0,NA,1101000
2001,0,365,0,NA,1101000
2002,0,365,0,NA,1101000
2003,0,366,0,NA,1101000
2004,0,365,0,NA,1101000
2005,0,365,0,NA,1101000
2006,0,365,0,NA,1101000
2007,0,366,0,NA,1101000
2008,0,365,0,NA,1101000
2009,0,365,0,NA,1101000
2010,11,365,0.030136986301369864,126,1101000
2011,0,366,0,NA,1101000
2012,0,365,0,NA,1101000
2013,0,365,0,NA,1101000
2014,0,365,0,NA,1101000
2015,0,366,0,NA,1101000
2016,80,365,0.2191780821917808,122,1101000
2017,0,365,0,NA,1101000
1980,49,365,0.13424657534246576,159,1109070
1981,6,365,0.01643835616438356,135,1109070
1982,0,365,0,NA,1109070
1983,6,366,0.01639344262295082,169,1109070
1984,0,365,0,NA,1109070
1985,0,365,0,NA,1109070
1986,0,365,0,NA,1109070
1987,29,366,0.07923497267759563,123,1109070
1988,13,365,0.03561643835616438,143,1109070
1989,0,365,0,NA,1109070
1990,0,365,0,NA,1109070
1991,8,321,0.024922118380062305,109,1109070
1992,0,252,0,NA,1109070
1993,78,365,0.2136986301369863,102,1109070
1994,8,365,0.021917808219178082,114,1109070
1995,31,366,0.08469945355191257,124,1109070
1996,0,365,0,NA,1109070
1997,71,365,0.19452054794520549,111,1109070
1998,0,365,0,NA,1109070
1999,81,366,0.22131147540983606,88,1109070
2000,0,365,0,NA,1109070
2001,3,365,0.00821917808219178,171,1109070
2002,66,365,0.18082191780821918,106,1109070
2003,0,366,0,NA,1109070
2004,0,365,0,NA,1109070
2005,28,365,0.07671232876712329,122,1109070
2006,0,365,0,NA,1109070
2007,54,366,0.14754098360655737,143,1109070
2008,33,365,0.09041095890410959,101,1109070
2009,0,365,0,NA,1109070
2010,7,365,0.019178082191780823,163,1109070
2011,7,366,0.01912568306010929,122,1109070
2012,0,365,0,NA,1109070
2013,0,365,0,NA,1109070
2014,61,365,0.16712328767123288,134,1109070
2015,19,366,0.05191256830601093,153,1109070
2016,76,364,0.2087912087912088,114,1109070
2017,7,365,0.019178082191780823,148,1109070
1980,8,365,0.021917808219178082,164,1110000
1981,0,365,0,NA,1110000
1982,0,365,0,NA,1110000
1983,0,366,0,NA,1110000
1984,0,365,0,NA,1110000
1985,0,365,0,NA,1110000
1986,0,365,0,NA,1110000
1987,0,366,0,NA,1110000
1988,0,365,0,NA,1110000
1989,0,365,0,NA,1110000
1990,0,365,0,NA,1110000
1991,0,366,0,NA,1110000
1992,0,365,0,NA,1110000
1993,0,365,0,NA,1110000
1994,0,365,0,NA,1110000
1995,5,366,0.01366120218579235,164,1110000
1996,0,365,0,NA,1110000
1997,0,365,0,NA,1110000
1998,0,365,0,NA,1110000
1999,28,366,0.07650273224043716,124,1110000
2000,0,365,0,NA,1110000
2001,7,365,0.019178082191780823,160,1110000
2002,11,365,0.030136986301369864,140,1110000
2003,0,366,0,NA,1110000
2004,0,365,0,NA,1110000
2005,0,365,0,NA,1110000
2006,0,365,0,NA,1110000
2007,11,366,0.030054644808743168,153,1110000
2008,0,365,0,NA,1110000
2009,0,365,0,NA,1110000
2010,6,365,0.01643835616438356,135,1110000
2011,0,366,0,NA,1110000
2012,0,365,0,NA,1110000
2013,0,365,0,NA,1110000
2014,0,365,0,NA,1110000
2015,4,366,0.01092896174863388,179,1110000
2016,0,365,0,NA,1110000
2017,0,365,0,NA,1110000
1980,0,365,0,NA,1174500
1981,0,365,0,NA,1174500
1982,0,365,0,NA,1174500
1983,0,366,0,NA,1174500
1984,0,365,0,NA,1174500
1985,0,365,0,NA,1174500
1986,0,365,0,NA,1174500
1987,0,366,0,NA,1174500
1988,0,365,0,NA,1174500
1989,0,365,0,NA,1174500
1990,0,365,0,NA,1174500
1991,0,366,0,NA,1174500
1992,0,365,0,NA,1174500
1993,0,365,0,NA,1174500
1994,0,365,0,NA,1174500
1995,46,366,0.12568306010928962,143,1174500
1996,0,365,0,NA,1174500
1997,0,365,0,NA,1174500
1998,3,365,0.00821917808219178,172,1174500
1999,49,366,0.13387978142076504,115,1174500
2000,0,365,0,NA,1174500
2001,20,365,0.0547945205479452,153,1174500
2002,62,365,0.16986301369863013,135,1174500
2003,0,366,0,NA,1174500
2004,0,365,0,NA,1174500
2005,0,365,0,NA,1174500
2006,0,365,0,NA,1174500
2007,0,366,0,NA,1174500
2008,0,365,0,NA,1174500
2009,0,365,0,NA,1174500
2010,0,365,0,NA,1174500
2011,0,366,0,NA,1174500
2012,0,365,0,NA,1174500
2013,0,365,0,NA,1174500
2014,0,365,0,NA,1174500
2015,0,366,0,NA,1174500
2016,36,365,0.09863013698630137,116,1174500
2017,0,365,0,NA,1174500
1981,0,148,0,NA,1195100
1982,0,365,0,NA,1195100
1983,0,366,0,NA,1195100
1984,0,365,0,NA,1195100
1985,0,365,0,NA,1195100
1986,0,365,0,NA,1195100
1987,0,366,0,NA,1195100
1988,0,365,0,NA,1195100
1989,0,365,0,NA,1195100
1990,0,365,0,NA,1195100
1991,1,366,0.00273224043715847,113,1195100
1992,0,365,0,NA,1195100
1993,14,365,0.038356164383561646,109,1195100
1994,0,365,0,NA,1195100
1995,23,366,0.06284153005464481,145,1195100
1996,0,365,0,NA,1195100
1997,0,365,0,NA,1195100
1998,0,365,0,NA,1195100
1999,6,366,0.01639344262295082,124,1195100
2000,0,365,0,NA,1195100
2001,0,365,0,NA,1195100
2002,0,365,0,NA,1195100
2003,0,366,0,NA,1195100
2004,0,365,0,NA,1195100
2005,10,365,0.0273972602739726,145,1195100
2006,9,365,0.024657534246575342,133,1195100
2007,7,366,0.01912568306010929,125,1195100
2008,0,365,0,NA,1195100
2009,0,365,0,NA,1195100
2010,16,365,0.043835616438356165,97,1195100
2011,2,366,0.00546448087431694,127,1195100
2012,0,365,0,NA,1195100
2013,0,365,0,NA,1195100
2014,0,365,0,NA,1195100
2015,5,366,0.01366120218579235,160,1195100
2016,12,365,0.03287671232876712,111,1195100
2017,0,361,0,NA,1195100
1980,0,365,0,NA,1310500
1981,0,365,0,NA,1310500
1982,0,365,0,NA,1310500
1983,0,366,0,NA,1310500
1984,0,365,0,NA,1310500
1985,0,365,0,NA,1310500
1986,0,365,0,NA,1310500
1987,0,366,0,NA,1310500
1988,11,365,0.030136986301369864,135,1310500
1989,0,365,0,NA,1310500
1990,0,365,0,NA,1310500
1991,0,366,0,NA,1310500
1992,0,365,0,NA,1310500
1993,0,365,0,NA,1310500
1994,0,365,0,NA,1310500
1995,49,366,0.13387978142076504,131,1310500
1996,0,365,0,NA,1310500
1997,0,365,0,NA,1310500
1998,0,365,0,NA,1310500
1999,48,366,0.13114754098360656,103,1310500
2005,47,316,0.14873417721518986,145,1310500
2006,0,365,0,NA,1310500
2007,0,366,0,NA,1310500
2008,0,365,0,NA,1310500
2009,0,365,0,NA,1310500
2010,0,183,0,NA,1310500
2012,0,182,0,NA,1310500
2013,0,365,0,NA,1310500
2014,0,365,0,NA,1310500
2015,0,366,0,NA,1310500
2016,44,365,0.12054794520547946,142,1310500
2017,0,365,0,NA,1310500
1980,273,365,0.7479452054794521,6,1311500
1981,350,365,0.958904109589041,1,1311500
1982,335,365,0.9178082191780822,1,1311500
1983,251,366,0.6857923497267759,1,1311500
1984,185,365,0.5068493150684932,166,1311500
1985,319,365,0.873972602739726,3,1311500
1986,309,365,0.8465753424657534,1,1311500
1987,293,366,0.8005464480874317,43,1311500
1988,291,365,0.7972602739726027,1,1311500
1989,20,365,0.0547945205479452,3,1311500
1990,26,365,0.07123287671232877,110,1311500
1991,163,366,0.4453551912568306,106,1311500
1992,145,365,0.3972602739726027,2,1311500
1993,151,365,0.4136986301369863,85,1311500
1994,60,365,0.1643835616438356,70,1311500
1995,159,366,0.4344262295081967,66,1311500
1996,0,365,0,NA,1311500
1997,14,365,0.038356164383561646,168,1311500
1998,78,365,0.2136986301369863,136,1311500
1999,95,366,0.25956284153005466,74,1311500
2000,7,365,0.019178082191780823,200,1311500
2001,184,365,0.5041095890410959,118,1311500
2002,81,365,0.2219178082191781,3,1311500
2003,0,366,0,NA,1311500
2004,0,365,0,NA,1311500
2005,55,365,0.1506849315068493,128,1311500
2006,0,365,0,NA,1311500
2007,67,366,0.1830601092896175,107,1311500
2008,73,365,0.2,63,1311500
2009,6,365,0.01643835616438356,106,1311500
2010,40,365,0.1095890410958904,113,1311500
2011,0,366,0,NA,1311500
2012,0,365,0,NA,1311500
2013,0,365,0,NA,1311500
2014,0,365,0,NA,1311500
2015,8,366,0.02185792349726776,174,1311500
2016,18,365,0.049315068493150684,170,1311500
2017,8,365,0.021917808219178082,195,1311500
1980,164,365,0.44931506849315067,202,1378500
1981,176,365,0.4821917808219178,1,1378500
1982,0,365,0,NA,1378500
1983,0,366,0,NA,1378500
1984,0,365,0,NA,1378500
1985,0,365,0,NA,1378500
1986,0,365,0,NA,1378500
1987,0,366,0,NA,1378500
1988,5,365,0.0136986301369863,23,1378500
1989,0,365,0,NA,1378500
1990,0,365,0,NA,1378500
1991,0,366,0,NA,1378500
1992,0,365,0,NA,1378500
1993,5,365,0.0136986301369863,226,1378500
1994,0,365,0,NA,1378500
1995,36,366,0.09836065573770492,168,1378500
1996,0,365,0,NA,1378500
1997,4,365,0.010958904109589041,234,1378500
1998,30,365,0.0821917808219178,170,1378500
1999,94,366,0.2568306010928962,72,1378500
2000,0,365,0,NA,1378500
2001,3,365,0.00821917808219178,298,1378500
2002,5,365,0.0136986301369863,8,1378500
2003,0,366,0,NA,1378500
2004,0,365,0,NA,1378500
2005,0,365,0,NA,1378500
2006,0,365,0,NA,1378500
2007,0,366,0,NA,1378500
2008,0,365,0,NA,1378500
2009,0,365,0,NA,1378500
