site,CLASS,lat,lon,noflowfraction_mean,n_years
1311500,Non-ref,40.6636111,-73.7044444,0.2742755017948718,39
1379530,Non-ref,40.74444444,-74.3536111,0.065518123125,32
1407500,Non-ref,40.3197222,-74.1155556,0.14812575756410257,39
1660920,Non-ref,38.4905833,-76.9270833,0.06305398864705883,34
2047500,Non-ref,37.0251499,-76.8746824,0.10349586451351352,37
2077200,Ref,36.39777778,-79.1966667,0.04878263184615385,39
2084160,Ref,35.56166667,-77.2308333,0.04544531836363636,33
2084557,Ref,35.7308333,-76.7461111,0.04689242435897436,39
2125000,Ref,35.3347222,-80.3355556,0.05894556487096774,31
2176500,Non-ref,32.8362777,-81.1317718,0.11168068438461538,39
2216180,Ref,31.99138889,-82.9219444,0.3200827693142857,35
2231342,Ref,27.5686473,-80.7961709,0.09460988135897436,39
2231600,Non-ref,28.074462,-80.8881155,0.07885224784615384,39
2232200,Non-ref,28.2130681,-80.91089309,0.05282832266666667,39
2236500,Ref,28.44778229,-81.74007599,0.14063331933333334,39
2236900,Non-ref,28.59277586,-81.8222998,0.3975740929487179,39
2237293,Non-ref,28.7444364,-81.8725798,0.1773960782631579,38
2256500,Non-ref,26.9325585,-81.3147949,0.08171074935897436,39
2263869,Non-ref,28.41278456,-81.5378509,0.7897592981428572,35
2264000,Non-ref,28.39056323,-81.5195173,0.18907482927777777,36
2266200,Ref,28.38500749,-81.6164632,0.22543973189473684,38
2266205,Non-ref,28.39306276,-81.6109075,0.5647505895,32
2266500,Non-ref,28.2636234,-81.536462,0.054793023428571425,35
2291580,Non-ref,26.44294444,-81.7959722,0.31275865383870965,31
2292900,Non-ref,26.72173487,-81.69313699,0.11182064027027026,37
2294491,Non-ref,27.93835785,-81.8511927,0.3181905419142857,35
2303350,Non-ref,28.1347222,-82.3619444,0.26121064825641027,39
2303400,Non-ref,28.32388889,-82.3836111,0.42898269113157894,38
2303420,Non-ref,28.1872222,-82.4022222,0.15101440371794872,39
2303800,Non-ref,28.08888889,-82.4091667,0.13793914094871795,39
2304500,Non-ref,28.02390784,-82.4275939,0.1726625321025641,39
2307359,Non-ref,28.09643229,-82.6871441,0.13550110853846153,39
2309848,Non-ref,28.18544444,-82.5533611,0.3645875542820513,39
2310947,Ref,28.31195156,-82.05591468,0.12336331515789474,38
2311500,Non-ref,28.3525042,-82.12591619,0.09096831457142857,35
2312200,Ref,28.57277286,-82.155363,0.11925274612820513,39
2312600,Non-ref,28.74359973,-82.2200892,0.09024713142857144,35
2313230,Non-ref,29.00997485,-82.6167699,0.11854094082051282,39
2318700,Non-ref,30.82555556,-83.5625,0.1570569895945946,37
2462500,Non-ref,33.4584457,-87.3541677,0.058956081,35
2462951,Non-ref,33.25317258,-87.4491703,0.050057903205882354,34
3237280,Ref,38.64368745,-83.21573648,0.051153068794871796,39
3238500,Ref,38.85812494,-83.9285394,0.04934711615625,32
3291780,Ref,38.8781136,-85.2571788,0.07282807515384615,39
3357350,Ref,39.76171297,-86.7294505,0.10153397020512821,39
3364500,Ref,39.2747732,-85.7016469,0.04223600338461538,39
3368000,Ref,39.07033129,-85.4860766,0.08330617407692308,39
3378000,Non-ref,38.3864372,-87.9755884,0.04538935617948718,39
3378635,Non-ref,39.10393125,-88.5942179,0.04886242671794872,39
3384450,Ref,37.4725833,-88.5476944,0.04248757948717949,39
5050000,Non-ref,45.86246018,-96.573958,0.0865224621025641,39
5053000,Non-ref,46.4705168,-96.7823018,0.09358177815384616,39
5060500,Non-ref,47.0166413,-97.214254,0.2471976952051282,39
5076000,Non-ref,48.1855249,-96.1700335,0.0685369245,38
5090000,Non-ref,48.4247108,-97.412023,0.06152406615384615,39
