metric,tau,pval,slope,n_years,gage_ID
annualfractionnoflow,0.05555555555555555,0.588820699840594,0,36,1109070
zeroflowfirst,NA,NA,NA,13,1109070
peak2z_length,NA,NA,NA,22,1109070
p_mm_cy,0.12944523470839261,0.2578567219573973,3.423076923076923,38,1109070
p_mm_amj,0.05263157894736842,0.650724756811992,0.5833333333333334,38,1109070
p_mm_jas,0.004267425320056899,0.9799370856688145,0.03333333333333333,38,1109070
p_mm_ond,0.08250355618776671,0.4734236504461231,0.9090909090909091,38,1109070
p_mm_jfm,0.06401137980085349,0.5801512457006335,0.9285714285714286,38,1109070
pet_mm_cy,0.31152204836415365,0.006123228107190348,2,38,1109070
pet_mm_amj,0.2603129445234708,0.021999269476427497,0.75,38,1109070
pet_mm_jas,0.30867709815078237,0.006599807616415987,1.263157894736842,38,1109070
pet_mm_ond,0.01991465149359886,0.8700097299457596,-0,38,1109070
pet_mm_jfm,0.06401137980085349,0.5795513484715173,0.13636363636363635,38,1109070
T_max_c_cy,0.2034139402560455,0.07422718306426046,0.02141699733333334,38,1109070
T_max_c_amj,0.17780938833570412,0.11901621744361224,0.015891800769230767,38,1109070
T_max_c_jas,0.26173541963015645,0.021400653506031153,0.03423913000000045,38,1109070
T_max_c_ond,0.2147937411095306,0.059323836552730214,0.03969038212121215,38,1109070
T_max_c_jfm,0.05832147937411095,0.6150513215653133,0.01068965517241381,38,1109070
T_min_c_cy,0.31721194879089615,0.005255150205324188,0.03581458629411765,38,1109070
T_min_c_amj,0.3186344238975818,0.005051106114567272,0.029020979045454573,38,1109070
T_min_c_jas,0.33428165007112376,0.0032628350391932237,0.0340792835294117,38,1109070
T_min_c_ond,0.283072546230441,0.012801754317165681,0.0427173913,38,1109070
T_min_c_jfm,0.10099573257467995,0.3788412517838009,0.025618131875000005,38,1109070
pcumdist10days,0.01422475106685633,0.9098121211729704,-0,38,1109070
pcumdist50days,0.049786628733997154,0.6689077174430536,0.18181818181818182,38,1109070
pcumdist90days,0.09103840682788052,0.42791694073082054,0.1891891891891892,38,1109070
swe_mm_cy,0.01951951951951952,0.8752340238797087,0.10606060606060606,37,1109070
swe_mm_amj,-0.046031746031746035,0.656207493905923,0,36,1109070
swe_mm_jas,0,1,0,36,1109070
swe_mm_ond,0.07142857142857142,0.5484277283724905,0.15384615384615385,36,1109070
swe_mm_jfm,0.04285714285714286,0.7231576469423904,0.20714285714285713,36,1109070
srad_wm2_cy,0.45092460881934565,7.105598793399892e-5,0.31398883846154035,38,1109070
srad_wm2_amj,0.31721194879089615,0.005255150205324188,0.49206348888888995,38,1109070
srad_wm2_jas,0.45519203413940257,6.0524996284172516e-5,0.5044757000000004,38,1109070
srad_wm2_ond,0.12944523470839261,0.2578567219573973,0.07971014444444474,38,1109070
srad_wm2_jfm,0.20910384068278806,0.06643192080942373,0.18703703666666674,38,1109070
pdsi_cy,0,1,-0,38,1109070
pdsi_amj,0,1,-0,38,1109070
pdsi_jas,0,1,-0,38,1109070
pdsi_ond,0,1,-0,38,1109070
pdsi_jfm,0,1,-0,38,1109070
annualfractionnoflow,0.06116642958748222,0.40318775661406914,-0,38,1174500
zeroflowfirst,NA,NA,NA,6,1174500
peak2z_length,NA,NA,NA,6,1174500
p_mm_cy,0.08961593172119488,0.4357099127515782,2.5,38,1174500
p_mm_amj,-0.044096728307254626,0.7060125200557188,-0.6086956521739131,38,1174500
p_mm_jas,0.09815078236130868,0.3924626389252266,1.0833333333333333,38,1174500
p_mm_ond,0.07681365576102418,0.5051113861424259,0.875,38,1174500
