metric,slope,p_value
noflowdays,1.8,0.4644135326519093
noflowperiods,-0.09090909090909091,0.3509775757333598
noflowlength,2.75,0.2842581285682551
noflowdays,1.8333333333333333,6.808413361047974e-5
noflowperiods,-0.043478260869565216,0.19655894321162776
noflowlength,3.2222222222222223,0.03527704333752608
noflowdays,-1.5555555555555556,0.021296118573524578
noflowperiods,0,0.26239200068904717
noflowlength,-1.1666666666666667,0.00786767400001248
noflowdays,-2,0.06537520319120696
noflowperiods,0,0.485395322005809
noflowlength,-2.142857142857143,0.01582212722650668
noflowdays,0,0.004113992224509341
noflowperiods,0,0.001715240249979156
noflowlength,0,0.0037763094669232104
noflowdays,0.7717121588089331,0.32864252142301625
noflowperiods,-0.03774928774928775,0.5326539084599793
noflowlength,1,0.6642885329737798
noflowdays,0,0.2748028666486508
noflowperiods,0,0.24181962889551203
noflowlength,0,0.1958598193918434
