predictor,IncMSE,metric,region,iteration
p_mm_cy,0.014599474403514324,annualfractionnoflow,National,1
p_mm_jas,0.003152979856429494,annualfractionnoflow,National,1
p_mm_ond,0.0011543345411343285,annualfractionnoflow,National,1
p_mm_jfm,0.001623424341311425,annualfractionnoflow,National,1
p_mm_amj,0.0027669890256162366,annualfractionnoflow,National,1
pet_mm_cy,0.003337480930257759,annualfractionnoflow,National,1
pet_mm_jas,0.0038896844192742824,annualfractionnoflow,National,1
pet_mm_ond,8.042508451013967e-4,annualfractionnoflow,National,1
pet_mm_jfm,0.0013473993294189437,annualfractionnoflow,National,1
pet_mm_amj,0.007040793079792217,annualfractionnoflow,National,1
T_max_c_cy,0.0012769402953925432,annualfractionnoflow,National,1
T_max_c_jas,0.0018107059059597286,annualfractionnoflow,National,1
T_max_c_ond,7.388488326454371e-4,annualfractionnoflow,National,1
T_max_c_jfm,0.001558594826774552,annualfractionnoflow,National,1
T_max_c_amj,0.0015381471634539588,annualfractionnoflow,National,1
T_min_c_cy,0.0018706522427662344,annualfractionnoflow,National,1
T_min_c_jas,0.0015313117987258906,annualfractionnoflow,National,1
T_min_c_ond,0.0012451869864804242,annualfractionnoflow,National,1
T_min_c_jfm,0.0014434457553105728,annualfractionnoflow,National,1
T_min_c_amj,0.001558414975657264,annualfractionnoflow,National,1
pcumdist10days,7.484584504223163e-4,annualfractionnoflow,National,1
pcumdist50days,0.0016048021908784526,annualfractionnoflow,National,1
pcumdist90days,6.596794586643489e-4,annualfractionnoflow,National,1
swe_mm_cy,3.4245265306871264e-4,annualfractionnoflow,National,1
swe_mm_jas,0,annualfractionnoflow,National,1
swe_mm_ond,2.6064359202779784e-4,annualfractionnoflow,National,1
swe_mm_jfm,3.610634484246823e-4,annualfractionnoflow,National,1
swe_mm_amj,-4.102286395007473e-6,annualfractionnoflow,National,1
srad_wm2_cy,0.010612004557664667,annualfractionnoflow,National,1
srad_wm2_jas,0.001844681150002899,annualfractionnoflow,National,1
srad_wm2_ond,0.0012501493070663624,annualfractionnoflow,National,1
srad_wm2_jfm,0.0021832348909863928,annualfractionnoflow,National,1
srad_wm2_amj,0.008388813314682745,annualfractionnoflow,National,1
pdsi_cy,8.639150841445138e-4,annualfractionnoflow,National,1
pdsi_jas,9.142226741946967e-4,annualfractionnoflow,National,1
pdsi_ond,5.851281249742841e-4,annualfractionnoflow,National,1
pdsi_jfm,4.4924908615592927e-4,annualfractionnoflow,National,1
pdsi_amj,0.001147659328470534,annualfractionnoflow,National,1
p.pet_cy,0.02715611408362833,annualfractionnoflow,National,1
swe.p_cy,4.8134549058303155e-4,annualfractionnoflow,National,1
p.pet_jfm,0.001829906328427312,annualfractionnoflow,National,1
swe.p_jfm,4.371418302625156e-4,annualfractionnoflow,National,1
p.pet_amj,0.007660747574102201,annualfractionnoflow,National,1
swe.p_amj,-1.0902225974788811e-5,annualfractionnoflow,National,1
p.pet_jas,0.004993339320258119,annualfractionnoflow,National,1
