predictor,ImpCondPerm
dams_n,4.1330898274240686e-4
majordams_n,9.765955865664309e-5
wuse_mm,6.436392432367311e-4
irrig_prc,2.9790259770630254e-4
lulc_water_prc,0.001897060104715804
lulc_dev_prc,3.756816827538496e-4
lulc_wetland_prc,9.967655951488579e-4
lulc_forest_prc,3.642491622536461e-4
lulc_barren_prc,4.405623299242484e-4
lulc_grass_prc,7.633283780804514e-4
lulc_ag_prc,2.4517720739298767e-4
drain_sqkm,0.0012019079344109966
elev_mean_m_basin,6.384977272252587e-4
slope_pct,7.462130308433423e-4
awcave,1.92648536123378e-4
permave,0.0022043552822421197
topwet,6.487483036358414e-4
depth_bedrock_m,6.635835528900055e-4
porosity,1.9381692318684783e-4
clayave,8.285833941452475e-4
siltave,7.822003409392451e-4
p_mm_ond,1.4297000014388894e-4
pet_mm_cy,2.6033131238395566e-4
pet_mm_jas,1.3179527844666433e-4
pet_mm_jfm,1.1503200416252074e-4
pet_mm_amj,8.488203991628259e-4
T_max_c_cy,3.2265241960300223e-4
T_max_c_jas,1.0718911397627398e-4
swe_mm_cy,1.2520771500183895e-5
swe_mm_ond,1.0015082313880812e-5
p.pet_cy,3.4734462421520803e-4
swe.p_cy,1.1156091067578208e-5
p.pet_jfm,7.008963602705798e-5
swe.p_jfm,6.829168756439675e-6
p.pet_amj,2.538319344518677e-4
swe.p_amj,-1.67076252841937e-6
p.pet_jas,2.936015357656197e-4
p.pet_ond,2.507334339119281e-4
swe.p_ond,1.2249660688045706e-6
p_mm_ond.previous,2.3091022089884815e-4
pet_mm_jas.previous,8.581746812035015e-5
pet_mm_jfm.previous,4.03641549964438e-4
pet_mm_amj.previous,1.5264387712095358e-4
swe_mm_ond.previous,2.641514831760253e-5
swe_mm_jfm.previous,2.004376473241018e-5
p.pet_cy.previous,5.559548107002213e-4
swe.p_cy.previous,2.5879761797121892e-5
p.pet_jfm.previous,4.31206980707243e-4
swe.p_jfm.previous,1.666110081756704e-4
p.pet_amj.previous,9.332967543059939e-5
swe.p_amj.previous,-1.3705930476130989e-6
p.pet_jas.previous,1.8583159441756404e-4
p.pet_ond.previous,2.0792650736978625e-4
swe.p_ond.previous,5.411622165139808e-6
