predictor,ImpCondPerm
dams_n,0.0011004252773702187
majordams_n,0.0011255910266777063
wuse_mm,0.00401652322457449
irrig_prc,0.002144326531895577
lulc_water_prc,0.0010419678848007496
lulc_dev_prc,0.0025943103162237415
lulc_wetland_prc,0.0012664676665161884
lulc_forest_prc,0.0012146677801295044
lulc_barren_prc,9.83987211630612e-4
lulc_grass_prc,0.0037444265695883807
lulc_ag_prc,0.0019101671274658063
drain_sqkm,0.0011774132379013687
elev_mean_m_basin,9.423214774000669e-4
slope_pct,0.0029527011490086586
awcave,0.0014250146164287414
permave,0.002590388876852193
topwet,0.001929944815819611
depth_bedrock_m,0.0041687325194908675
porosity,0.001166355946326384
clayave,0.001311626435692833
siltave,0.0017062506064945018
p_mm_ond,6.531962756849891e-4
pet_mm_cy,9.802904464092598e-4
pet_mm_jas,4.2480851277090017e-4
pet_mm_jfm,1.983258130331761e-4
pet_mm_amj,5.827328908506489e-4
T_max_c_cy,0.0011760245386168461
T_max_c_jas,3.785957249871901e-4
swe_mm_cy,5.37018792778804e-4
swe_mm_ond,8.700851330234885e-5
p.pet_cy,3.4394342904868757e-4
swe.p_cy,4.982623381475534e-4
p.pet_jfm,-1.5984721946573374e-4
swe.p_jfm,7.828434219677901e-4
p.pet_amj,5.085887586244762e-4
swe.p_amj,2.026451582078946e-4
p.pet_jas,1.5366293851760618e-4
p.pet_ond,9.251506889726461e-4
swe.p_ond,1.0714687246773354e-4
p_mm_ond.previous,7.13956108630482e-4
pet_mm_jas.previous,3.373569899872069e-4
pet_mm_jfm.previous,0.001246762276513104
pet_mm_amj.previous,8.315890855292554e-4
swe_mm_ond.previous,9.792801902149381e-6
swe_mm_jfm.previous,1.8374784195240634e-4
p.pet_cy.previous,0.004590104420459829
swe.p_cy.previous,1.17862698594391e-4
p.pet_jfm.previous,0.002009887578974781
swe.p_jfm.previous,5.090127841626857e-5
p.pet_amj.previous,1.644016763508199e-4
swe.p_amj.previous,9.930068331160915e-5
p.pet_jas.previous,-4.729266276680613e-5
p.pet_ond.previous,8.14702051649481e-4
swe.p_ond.previous,2.0299188798793052e-4
