predictor,ImpCondPerm
dams_n,8.825830952344894e-6
majordams_n,2.6344992923764812e-5
wuse_mm,8.974889815249202e-6
irrig_prc,4.991215768768252e-6
lulc_water_prc,4.072112359550863e-5
lulc_dev_prc,7.60721736382277e-6
lulc_wetland_prc,1.4099422524236771e-5
lulc_forest_prc,3.665829761577679e-6
lulc_barren_prc,4.363030603613255e-6
lulc_grass_prc,1.131147942622668e-5
lulc_ag_prc,1.402733867872756e-6
drain_sqkm,5.811858115443742e-5
elev_mean_m_basin,1.3244507051814351e-5
slope_pct,3.174837942906383e-5
awcave,4.805241486863526e-6
permave,2.890381098327476e-5
topwet,2.224253605205582e-5
depth_bedrock_m,3.246333396483441e-5
porosity,5.546121059678073e-5
clayave,5.6496260406130965e-6
siltave,1.3420454721105776e-5
p_mm_ond,-1.485253215371498e-6
pet_mm_cy,2.6877855576161745e-6
pet_mm_jas,4.470543957712341e-6
pet_mm_jfm,-9.736431706034457e-7
pet_mm_amj,2.486981562188564e-5
T_max_c_cy,-4.980914824926821e-6
T_max_c_jas,-2.272409909892549e-7
swe_mm_cy,-9.74294098235851e-7
swe_mm_ond,-3.4559419142953634e-6
p.pet_cy,2.9102403939043107e-5
swe.p_cy,-3.4666101611215898e-6
p.pet_jfm,-1.9424088551110294e-7
swe.p_jfm,-4.923313611863372e-6
p.pet_amj,2.6528099020774247e-5
swe.p_amj,-2.358009121231734e-6
p.pet_jas,2.947265532039152e-5
p.pet_ond,4.9755001590792945e-6
swe.p_ond,-9.044051415052913e-6
p_mm_ond.previous,1.7885136478143893e-6
pet_mm_jas.previous,-5.782602142556498e-6
pet_mm_jfm.previous,4.7874663189614064e-6
pet_mm_amj.previous,6.5951983772256135e-6
swe_mm_ond.previous,-2.6552922853120944e-7
swe_mm_jfm.previous,-2.151647307613138e-6
p.pet_cy.previous,1.0548253575224139e-4
swe.p_cy.previous,-4.2483273302098265e-6
p.pet_jfm.previous,1.0780931037085984e-5
swe.p_jfm.previous,-2.442737447409187e-6
p.pet_amj.previous,-9.262535504743525e-6
swe.p_amj.previous,1.0983910680782152e-6
p.pet_jas.previous,-1.14003736126408e-6
p.pet_ond.previous,4.396440911262196e-6
swe.p_ond.previous,-1.8659343032217182e-7
