predictor,ImpCondPerm
dams_n,6.249677205715056e-4
majordams_n,8.787030846589133e-4
wuse_mm,3.338234082400471e-4
irrig_prc,4.958508872072685e-4
lulc_water_prc,4.5879754258143865e-4
lulc_dev_prc,2.81623971088702e-4
lulc_wetland_prc,2.4280610431903066e-4
lulc_forest_prc,6.571451708937315e-4
lulc_barren_prc,2.3207186425176941e-4
lulc_grass_prc,2.5711586137205976e-4
lulc_ag_prc,1.9763755244466629e-4
drain_sqkm,0.0010495423265091965
elev_mean_m_basin,6.835787092181003e-4
slope_pct,4.6515538394354273e-4
awcave,6.718967149895216e-4
permave,0.0010290612298708996
topwet,4.497343261411039e-4
depth_bedrock_m,4.883429542536986e-4
porosity,6.930572504949149e-4
clayave,3.7879281789004364e-4
siltave,9.029412412404144e-4
p_mm_ond,6.239027108051528e-5
pet_mm_cy,5.317824882614222e-4
pet_mm_jas,4.7671220999608634e-4
pet_mm_jfm,1.1972912526909243e-4
pet_mm_amj,5.157556177523503e-4
T_max_c_cy,3.391918801351852e-4
T_max_c_jas,7.45670621161341e-4
swe_mm_cy,1.0658910829172263e-5
swe_mm_ond,2.760239213028699e-5
p.pet_cy,6.829719860461058e-4
swe.p_cy,1.0880176372374407e-4
p.pet_jfm,3.5222673869853137e-5
swe.p_jfm,1.6224376383168973e-6
p.pet_amj,4.871356201822444e-4
swe.p_amj,-6.198700643757216e-6
p.pet_jas,6.371702342181519e-4
p.pet_ond,1.6954353180134187e-4
swe.p_ond,4.306765621029918e-5
p_mm_ond.previous,2.4980166345233784e-4
pet_mm_jas.previous,3.762803677434551e-4
pet_mm_jfm.previous,1.4470134001218446e-4
pet_mm_amj.previous,1.843197438318654e-4
swe_mm_ond.previous,-2.6379461998329372e-6
swe_mm_jfm.previous,1.205899628591539e-4
p.pet_cy.previous,8.559757745517286e-4
swe.p_cy.previous,5.055041608494629e-5
p.pet_jfm.previous,2.7502005840861557e-4
swe.p_jfm.previous,1.0681064440232488e-5
p.pet_amj.previous,1.4052281126844952e-4
swe.p_amj.previous,5.211833405884364e-5
p.pet_jas.previous,2.53092314643968e-4
p.pet_ond.previous,2.921725962746086e-4
swe.p_ond.previous,2.8043126497319552e-5
