predictor,ImpCondPerm
dams_n,0.004349445691293717
majordams_n,0.0037504227207530642
wuse_mm,0.0028098244539219845
irrig_prc,0.001044531439237964
lulc_water_prc,0.002823754548815683
lulc_dev_prc,3.4968947302267683e-4
lulc_wetland_prc,4.4718410297697996e-4
lulc_forest_prc,0.002030227594802789
lulc_barren_prc,7.495009895944546e-4
lulc_grass_prc,0.0011831359905417657
lulc_ag_prc,4.2965566984031416e-4
drain_sqkm,0.005083014749705852
elev_mean_m_basin,0.001566456741155914
slope_pct,9.737461385598128e-4
awcave,0.011542993403060989
permave,0.0020350444631473557
topwet,7.311900195402786e-4
depth_bedrock_m,0.005355940963817617
porosity,0.013158831684894045
clayave,0.0011851119591415825
siltave,0.0028731307384347576
p_mm_ond,9.625695316108308e-4
pet_mm_cy,0.001065621628901763
pet_mm_jas,0.002828332722916575
pet_mm_jfm,3.8942484062123254e-4
pet_mm_amj,3.59786317227579e-4
T_max_c_cy,0.002404178932700048
T_max_c_jas,0.0012906260233146525
swe_mm_cy,2.5059198650814415e-4
swe_mm_ond,2.5989335402877735e-4
p.pet_cy,0.0010144572168099466
swe.p_cy,1.4880308825460534e-4
p.pet_jfm,-1.5869719144609418e-4
swe.p_jfm,-1.0504737479253877e-4
p.pet_amj,-1.1603992866204744e-4
swe.p_amj,8.719919133340694e-4
p.pet_jas,0.001299242196587872
p.pet_ond,-9.511121129718996e-6
swe.p_ond,-2.389938793002465e-5
p_mm_ond.previous,-1.2749104560400257e-4
pet_mm_jas.previous,0.0026077376686333667
pet_mm_jfm.previous,3.989645220989924e-4
pet_mm_amj.previous,5.581274302384795e-4
swe_mm_ond.previous,-1.3715498061061713e-4
swe_mm_jfm.previous,2.5081714013230796e-4
p.pet_cy.previous,4.544741618557761e-4
swe.p_cy.previous,6.391204584412397e-4
p.pet_jfm.previous,2.773274041587939e-4
swe.p_jfm.previous,7.776264949889281e-5
p.pet_amj.previous,-5.593368047865754e-4
swe.p_amj.previous,3.3277355852840795e-4
p.pet_jas.previous,0.0011877575222486321
p.pet_ond.previous,9.679390131278585e-5
swe.p_ond.previous,-5.520627606829263e-5
