predictor,ImpCondPerm
dams_n,0.0015873616348075945
majordams_n,0.003688718741801105
wuse_mm,0.0018115594334184135
irrig_prc,0.0038873552073914832
lulc_water_prc,0.0013878066248671033
lulc_dev_prc,5.755722300055716e-4
lulc_wetland_prc,0.002484788884380446
lulc_forest_prc,0.005840044885315138
lulc_barren_prc,0.0024458958165202447
lulc_grass_prc,0.004199626252107224
lulc_ag_prc,0.0019938522350410027
drain_sqkm,0.0038289179952439105
elev_mean_m_basin,0.0043990536891180525
slope_pct,0.002953494088855312
awcave,0.0012905102455964504
permave,0.0027691325726426448
topwet,0.0018662147820972827
depth_bedrock_m,0.003049472311072886
porosity,0.008739883418758735
clayave,0.0017949649016426386
siltave,0.0028462064644239177
p_mm_ond,9.532284676937487e-4
pet_mm_cy,0.0012703710746044146
pet_mm_jas,5.016436140047521e-4
pet_mm_jfm,0.0013517902985620569
pet_mm_amj,0.0010515380498506595
T_max_c_cy,0.0010976124334452814
T_max_c_jas,7.193397930109661e-4
swe_mm_cy,7.210961616347896e-4
swe_mm_ond,-4.407207015517893e-5
p.pet_cy,0.0013685859742932098
swe.p_cy,3.347525044169386e-4
p.pet_jfm,3.678512979457708e-4
swe.p_jfm,5.333485826297847e-4
p.pet_amj,4.6178664632243497e-4
swe.p_amj,0.0013325817099840366
p.pet_jas,1.833731296482694e-4
p.pet_ond,3.699211421929937e-4
swe.p_ond,9.101160047004091e-4
p_mm_ond.previous,0.0022807380162570114
pet_mm_jas.previous,7.041109343444769e-4
pet_mm_jfm.previous,0.0021772985186663887
pet_mm_amj.previous,9.472213343893411e-4
swe_mm_ond.previous,1.8843947689982607e-4
swe_mm_jfm.previous,0.0011100528221955374
p.pet_cy.previous,0.0036521967338413583
swe.p_cy.previous,9.778940081970455e-4
p.pet_jfm.previous,0.0020971083324495985
swe.p_jfm.previous,3.264769232712444e-4
p.pet_amj.previous,2.031963223836271e-4
swe.p_amj.previous,0.002515837106270774
p.pet_jas.previous,-3.852722668693996e-5
p.pet_ond.previous,0.0015066091554044995
swe.p_ond.previous,4.6268645650183934e-4
