predictor,ImpCondPerm
dams_n,185.50308299973648
majordams_n,151.5948795593978
wuse_mm,39.04644228604602
irrig_prc,92.98638453771748
lulc_water_prc,118.22891055850272
lulc_dev_prc,86.52377042524375
lulc_wetland_prc,42.297127023967676
lulc_forest_prc,163.84043555548712
lulc_barren_prc,108.50411343814405
lulc_grass_prc,178.42614547023268
lulc_ag_prc,182.51127693912642
drain_sqkm,290.89467199907284
elev_mean_m_basin,155.07570078841724
slope_pct,109.38371163161516
awcave,73.68489556853324
permave,355.0408958194966
topwet,98.5863948576466
depth_bedrock_m,193.6373385454641
porosity,391.0398440702647
clayave,856.9952039938278
siltave,129.88690807882998
p_mm_ond,162.66471313319536
p_mm_jfm,11.242566064163514
pet_mm_cy,59.9696508946786
pet_mm_jas,26.594606431454245
pet_mm_ond,30.744720873794794
pet_mm_amj,207.55225989092276
T_max_c_cy,52.433078151077275
T_max_c_jas,30.630586887853188
swe_mm_cy,31.169345117109426
swe_mm_ond,68.34407783351264
p.pet_cy,460.6299591830605
swe.p_cy,10.568668819543854
p.pet_jfm,1.6072650926936451
swe.p_jfm,36.628799622349234
p.pet_amj,224.42255906102372
swe.p_amj,35.719524633967275
p.pet_jas,100.97190618312207
p.pet_ond,84.99121446884142
swe.p_ond,69.42235088231013
p_mm_jas.previous,39.93914482133414
p_mm_ond.previous,142.54625058776125
p_mm_jfm.previous,-5.223642217454578
p_mm_amj.previous,93.24607876398635
pet_mm_jas.previous,20.89712583345954
pet_mm_ond.previous,52.24710293261519
pet_mm_amj.previous,192.54149540408434
swe_mm_ond.previous,69.78717143338969
swe_mm_jfm.previous,44.13923829711311
p.pet_cy.previous,205.9963734874892
swe.p_cy.previous,26.883011663014898
p.pet_jfm.previous,41.05450143211259
swe.p_jfm.previous,15.63585302637073
swe.p_amj.previous,-8.423655756750236
p.pet_ond.previous,126.67048920885527
swe.p_ond.previous,54.89907132197873
