predictor,ImpCondPerm
dams_n,444.0986818949613
majordams_n,373.6212154763659
wuse_mm,136.16124354251366
irrig_prc,152.97032888697007
lulc_water_prc,372.09288549352135
lulc_dev_prc,-11.033472458347399
lulc_wetland_prc,91.3120316261447
lulc_forest_prc,427.542906267055
lulc_barren_prc,297.40121384775455
lulc_grass_prc,201.48352701878997
lulc_ag_prc,53.1844397518501
drain_sqkm,526.0633220773697
elev_mean_m_basin,357.2279151670328
slope_pct,620.9170610670703
awcave,725.3682291014334
permave,355.9841396041809
topwet,216.35911812038526
depth_bedrock_m,523.1676655986226
porosity,1426.3692184277813
clayave,85.13707975764196
siltave,319.55136176711227
p_mm_ond,22.23896680443127
p_mm_jfm,15.715122376517552
pet_mm_cy,292.3609375175968
pet_mm_jas,305.97324246587834
pet_mm_ond,121.41559948641797
pet_mm_amj,241.51104204853092
T_max_c_cy,367.62910760822973
T_max_c_jas,211.99315428349337
swe_mm_cy,44.443664262470904
swe_mm_ond,-24.279756583554644
p.pet_cy,151.60270965658603
swe.p_cy,-0.09875537650907884
p.pet_jfm,27.055643597114923
swe.p_jfm,-19.381879502062905
p.pet_amj,-2.578959322002394
swe.p_amj,85.09075842285876
p.pet_jas,72.8815943093504
p.pet_ond,90.52200254322517
swe.p_ond,-8.395315862017549
p_mm_jas.previous,23.4278675827662
p_mm_ond.previous,98.52172186693213
p_mm_jfm.previous,78.81789297066865
p_mm_amj.previous,-113.24616777984633
pet_mm_jas.previous,221.83570840996813
pet_mm_ond.previous,119.50985620951438
pet_mm_amj.previous,211.5783035367322
swe_mm_ond.previous,-34.13211506991783
swe_mm_jfm.previous,42.438259159086385
p.pet_cy.previous,89.65114832555876
swe.p_cy.previous,55.06211603241221
p.pet_jfm.previous,28.295293541043755
swe.p_jfm.previous,-22.93350841395746
swe.p_amj.previous,62.920520515314806
p.pet_ond.previous,-4.6849396490596655
swe.p_ond.previous,9.822629294576299
