predictor,ImpCondPerm
dams_n,23.924329017325277
majordams_n,27.200208318959994
wuse_mm,18.646826642876537
irrig_prc,19.682272041867666
lulc_water_prc,1.3020576131686994
lulc_dev_prc,8.207769023560662
lulc_wetland_prc,39.4560439365677
lulc_forest_prc,20.693810260750933
lulc_barren_prc,0.33076637529242703
lulc_grass_prc,33.738585182616475
lulc_ag_prc,18.044726290938925
drain_sqkm,6.920805729445148
elev_mean_m_basin,8.646317926615794
slope_pct,5.941123114726327
awcave,22.741544179454607
permave,15.847737199821882
topwet,10.643336490300864
depth_bedrock_m,53.4457829001767
porosity,13.926390380636617
clayave,19.420918731443233
siltave,15.509003557380353
p_mm_ond,4.945753726460869
pet_mm_cy,14.342836299724285
pet_mm_jas,3.7689306759607746
pet_mm_jfm,25.98650319938942
pet_mm_amj,23.190264721068445
T_max_c_cy,54.51536608427213
T_max_c_jas,14.452341275705859
swe_mm_cy,44.49113972158542
swe_mm_ond,20.7474160407226
p.pet_cy,9.20009925316484
swe.p_cy,43.17224324244372
p.pet_jfm,16.064957623658707
swe.p_jfm,18.99843660837507
p.pet_amj,8.52753475231043
swe.p_amj,20.2163007701996
p.pet_jas,22.852119718476274
p.pet_ond,8.38382881274155
swe.p_ond,27.06199141996412
p_mm_ond.previous,-2.528621206635705
pet_mm_jas.previous,12.289357454034622
pet_mm_jfm.previous,17.36335478211436
pet_mm_amj.previous,21.29011736894602
swe_mm_ond.previous,12.24658041508152
swe_mm_jfm.previous,29.12707155328762
p.pet_cy.previous,9.257323786179212
swe.p_cy.previous,48.46831538078296
p.pet_jfm.previous,1.693290356138359
swe.p_jfm.previous,10.07267730036036
p.pet_amj.previous,13.895962512163793
swe.p_amj.previous,24.483671880791256
p.pet_jas.previous,44.01813416089041
p.pet_ond.previous,1.9160295644380199
swe.p_ond.previous,12.183437161066694
