predictor,ImpCondPerm
dams_n,161.66016639725723
majordams_n,58.24821245490178
wuse_mm,273.3604877334719
irrig_prc,253.5860664477741
lulc_water_prc,232.4525011929634
lulc_dev_prc,-154.20096028966017
lulc_wetland_prc,111.64351834845834
lulc_forest_prc,218.02477018214645
lulc_barren_prc,81.8224774847613
lulc_grass_prc,326.75092080939794
lulc_ag_prc,138.1291628012231
drain_sqkm,287.3873111582028
elev_mean_m_basin,99.86486766237195
slope_pct,106.30445767688397
awcave,507.8493334863621
permave,546.8761286941295
topwet,128.64631093869698
depth_bedrock_m,249.8178799783853
porosity,365.70628035844925
clayave,530.7694152573699
siltave,320.2997355565976
p_mm_ond,148.33071581014292
p_mm_jfm,50.53423171384303
pet_mm_cy,257.9198470261827
pet_mm_jas,287.3515597854525
pet_mm_ond,269.6299732301306
pet_mm_amj,180.80080691419278
T_max_c_cy,258.5060525232301
T_max_c_jas,457.572000166603
swe_mm_cy,58.63736346516089
swe_mm_ond,-53.93607521189142
p.pet_cy,50.5692444451131
swe.p_cy,-471.8583787984444
p.pet_jfm,122.40533059238942
swe.p_jfm,-103.06183653320643
p.pet_amj,146.34027657794056
swe.p_amj,102.32545952000382
p.pet_jas,129.30214640533933
p.pet_ond,-11.209114225344592
swe.p_ond,128.60771604077837
p_mm_jas.previous,350.4855291588087
p_mm_ond.previous,247.16930480003217
p_mm_jfm.previous,-4.039831614424202
p_mm_amj.previous,-69.75501794290449
pet_mm_jas.previous,388.8452016535743
pet_mm_ond.previous,571.6177459576718
pet_mm_amj.previous,211.5774050421083
swe_mm_ond.previous,282.5570856398401
swe_mm_jfm.previous,120.54634736628887
p.pet_cy.previous,441.22130111379306
swe.p_cy.previous,125.3808326456748
p.pet_jfm.previous,360.7636836399874
swe.p_jfm.previous,148.80571358937405
swe.p_amj.previous,74.06139529272127
p.pet_ond.previous,327.4374866185934
swe.p_ond.previous,50.778836905475146
