predictor,ImpCondPerm
dams_n,199.43822543985357
majordams_n,195.23217129549766
wuse_mm,243.3180697083609
irrig_prc,212.1945434000844
lulc_water_prc,84.14972704057921
lulc_dev_prc,31.058874665907766
lulc_wetland_prc,430.3633564239741
lulc_forest_prc,784.6100332571393
lulc_barren_prc,252.18724595081972
lulc_grass_prc,398.6951606560449
lulc_ag_prc,257.0354301504029
drain_sqkm,139.07404390712725
elev_mean_m_basin,252.6554641530168
slope_pct,168.73082152054477
awcave,125.39094471062067
permave,209.54000585727633
topwet,77.31909181043618
depth_bedrock_m,121.96035880183685
porosity,32.23781405224604
clayave,138.74564143209864
siltave,130.8296689876622
p_mm_ond,72.88865828682542
p_mm_jfm,29.27042056479184
pet_mm_cy,249.39566786171648
pet_mm_jas,102.85688296604647
pet_mm_ond,252.97417887203702
pet_mm_amj,327.26721190470414
T_max_c_cy,147.4103774012047
T_max_c_jas,138.8321754681454
swe_mm_cy,44.72149925518781
swe_mm_ond,-17.696842399699324
p.pet_cy,45.31582148750681
swe.p_cy,29.427118175390394
p.pet_jfm,81.50720343394029
swe.p_jfm,54.40596640976921
p.pet_amj,73.8304530864512
swe.p_amj,97.29946479140757
p.pet_jas,95.39526709405696
p.pet_ond,82.18422500091636
swe.p_ond,83.32916100813155
p_mm_jas.previous,121.19003658901029
p_mm_ond.previous,201.70205996774502
p_mm_jfm.previous,150.58041360219337
p_mm_amj.previous,139.64629206406386
pet_mm_jas.previous,63.07293996688534
pet_mm_ond.previous,367.07955715363204
pet_mm_amj.previous,372.4444655782918
swe_mm_ond.previous,39.517944758866065
swe_mm_jfm.previous,86.79958986806695
p.pet_cy.previous,240.05603332384626
swe.p_cy.previous,112.69196043627467
p.pet_jfm.previous,165.12304152686067
swe.p_jfm.previous,-8.343239800223225
swe.p_amj.previous,34.84980317058318
p.pet_ond.previous,80.39367596505606
swe.p_ond.previous,84.49893055293063
