predictor,VarPrcIncMSE,metric,region_rf
clayave,36.47932666779242,annualfractionnoflow,National
depth_bedrock_m,36.52815663302651,annualfractionnoflow,National
drain_sqkm,40.2672826791147,annualfractionnoflow,National
elev_mean_m_basin,36.427207876815075,annualfractionnoflow,National
p.pet_cy,67.36988036396843,annualfractionnoflow,National
p.pet_cy.previous,65.36012811207418,annualfractionnoflow,National
permave,41.24604399845833,annualfractionnoflow,National
siltave,37.12900945223608,annualfractionnoflow,National
storage_m,32.41323661106448,annualfractionnoflow,National
topwet,32.79158299804811,annualfractionnoflow,National
clayave,21.87559743495313,annualfractionnoflow,North Great Plains
p.pet_amj,15.1637530451121,annualfractionnoflow,North Great Plains
p.pet_cy,19.459815078695296,annualfractionnoflow,North Great Plains
p.pet_cy.previous,23.865250603040053,annualfractionnoflow,North Great Plains
p_mm_amj,15.670107346299574,annualfractionnoflow,North Great Plains
p_mm_cy,25.223087927955714,annualfractionnoflow,North Great Plains
permave,20.05851742923658,annualfractionnoflow,North Great Plains
porosity,22.13746990616315,annualfractionnoflow,North Great Plains
T_min_c_ond,17.946547382782228,annualfractionnoflow,North Great Plains
topwet,26.70368066593618,annualfractionnoflow,North Great Plains
awcave,16.18641852700244,annualfractionnoflow,Mediterranean California
depth_bedrock_m,22.25411614969113,annualfractionnoflow,Mediterranean California
drain_sqkm,25.988040530499745,annualfractionnoflow,Mediterranean California
elev_mean_m_basin,32.69763324368009,annualfractionnoflow,Mediterranean California
p.pet_cy.previous,28.938804025396205,annualfractionnoflow,Mediterranean California
p_mm_cy.previous,25.236760423439364,annualfractionnoflow,Mediterranean California
p_mm_jfm.previous,16.606750279517037,annualfractionnoflow,Mediterranean California
permave,17.029353051452986,annualfractionnoflow,Mediterranean California
pet_mm_cy.previous,20.962954552386364,annualfractionnoflow,Mediterranean California
siltave,20.114844312349806,annualfractionnoflow,Mediterranean California
drain_sqkm,35.70821064022915,annualfractionnoflow,South Great Plains
elev_mean_m_basin,35.71253559121151,annualfractionnoflow,South Great Plains
p.pet_cy,28.276794304978687,annualfractionnoflow,South Great Plains
p.pet_cy.previous,40.12772037406663,annualfractionnoflow,South Great Plains
p_mm_cy,27.438042249679516,annualfractionnoflow,South Great Plains
p_mm_jas,17.690284477469092,annualfractionnoflow,South Great Plains
permave,28.61421141933863,annualfractionnoflow,South Great Plains
srad_wm2_amj,26.222013865611093,annualfractionnoflow,South Great Plains
storage_m,30.60033269659596,annualfractionnoflow,South Great Plains
topwet,28.75617490690519,annualfractionnoflow,South Great Plains
awcave,11.712964021001028,annualfractionnoflow,Western Desert
depth_bedrock_m,11.250091492190261,annualfractionnoflow,Western Desert
drain_sqkm,14.172795669281207,annualfractionnoflow,Western Desert
