predictor,VarPrcIncMSE,metric,region_rf,kfold
clayave,45.44125808057936,annualfractionnoflow,National,1
drain_sqkm,52.49985170073489,annualfractionnoflow,National,1
elev_mean_m_basin,38.50566833238676,annualfractionnoflow,National,1
irrig_prc,49.074945359041564,annualfractionnoflow,National,1
lulc_ag_prc,33.10191421545271,annualfractionnoflow,National,1
lulc_barren_prc,40.131438598300164,annualfractionnoflow,National,1
lulc_dev_prc,63.98188936257971,annualfractionnoflow,National,1
lulc_forest_prc,49.607978976129964,annualfractionnoflow,National,1
lulc_grass_prc,43.36220941076054,annualfractionnoflow,National,1
lulc_water_prc,53.85825017270128,annualfractionnoflow,National,1
lulc_wetland_prc,40.78929200036139,annualfractionnoflow,National,1
p.pet_cy.previous,88.08407516119743,annualfractionnoflow,National,1
permave,50.83933224927098,annualfractionnoflow,National,1
porosity,52.653230630844405,annualfractionnoflow,National,1
sandave,43.87660464400684,annualfractionnoflow,National,1
siltave,48.296386117358885,annualfractionnoflow,National,1
slope_pct,48.38320835142608,annualfractionnoflow,National,1
wuse_mm,48.084341162744124,annualfractionnoflow,National,1
clayave,43.96632121331286,annualfractionnoflow,National,2
drain_sqkm,51.116633940223444,annualfractionnoflow,National,2
elev_mean_m_basin,40.78794887368029,annualfractionnoflow,National,2
irrig_prc,53.37885562133225,annualfractionnoflow,National,2
lulc_ag_prc,33.37460333857777,annualfractionnoflow,National,2
lulc_barren_prc,52.87092134659555,annualfractionnoflow,National,2
lulc_dev_prc,57.05637016331966,annualfractionnoflow,National,2
lulc_forest_prc,53.228581633311556,annualfractionnoflow,National,2
lulc_grass_prc,40.04217913284477,annualfractionnoflow,National,2
lulc_water_prc,59.362821078188034,annualfractionnoflow,National,2
lulc_wetland_prc,47.680915276480206,annualfractionnoflow,National,2
p.pet_cy.previous,83.20446568605243,annualfractionnoflow,National,2
permave,59.521422836653606,annualfractionnoflow,National,2
porosity,46.81703706301165,annualfractionnoflow,National,2
sandave,53.269134404495595,annualfractionnoflow,National,2
siltave,47.80362033763376,annualfractionnoflow,National,2
slope_pct,47.86901869344211,annualfractionnoflow,National,2
wuse_mm,56.35188286558683,annualfractionnoflow,National,2
clayave,51.94094604440344,annualfractionnoflow,National,3
drain_sqkm,57.377207070075954,annualfractionnoflow,National,3
elev_mean_m_basin,44.952197848847106,annualfractionnoflow,National,3
irrig_prc,51.45732418141697,annualfractionnoflow,National,3
lulc_ag_prc,32.901227017036604,annualfractionnoflow,National,3
lulc_barren_prc,51.65350734586173,annualfractionnoflow,National,3
lulc_dev_prc,73.84677727898574,annualfractionnoflow,National,3
lulc_forest_prc,47.44579602199343,annualfractionnoflow,National,3
lulc_grass_prc,47.45570131526276,annualfractionnoflow,National,3
lulc_water_prc,53.04177036150197,annualfractionnoflow,National,3
lulc_wetland_prc,40.00870073279145,annualfractionnoflow,National,3
p.pet_cy.previous,85.05403222560247,annualfractionnoflow,National,3
permave,52.59824924927166,annualfractionnoflow,National,3
porosity,41.35555343509412,annualfractionnoflow,National,3
sandave,48.6630112785783,annualfractionnoflow,National,3
siltave,49.14988007488996,annualfractionnoflow,National,3
slope_pct,47.594155471980535,annualfractionnoflow,National,3
wuse_mm,55.25862550233953,annualfractionnoflow,National,3
clayave,53.77993684870317,annualfractionnoflow,National,4
drain_sqkm,50.33111849104875,annualfractionnoflow,National,4
elev_mean_m_basin,39.87130324677823,annualfractionnoflow,National,4
irrig_prc,53.05248851460173,annualfractionnoflow,National,4
lulc_ag_prc,36.830429091169435,annualfractionnoflow,National,4
lulc_barren_prc,51.93365324633764,annualfractionnoflow,National,4
lulc_dev_prc,70.99815728730339,annualfractionnoflow,National,4
lulc_forest_prc,48.35777896103425,annualfractionnoflow,National,4
lulc_grass_prc,44.87952762707254,annualfractionnoflow,National,4
lulc_water_prc,64.58291615129203,annualfractionnoflow,National,4
lulc_wetland_prc,45.1671199877558,annualfractionnoflow,National,4
p.pet_cy.previous,88.14936200040493,annualfractionnoflow,National,4
permave,59.48710238966414,annualfractionnoflow,National,4
porosity,46.57697552058155,annualfractionnoflow,National,4
sandave,47.163641613798106,annualfractionnoflow,National,4
siltave,45.40918371804061,annualfractionnoflow,National,4
slope_pct,44.30872787508029,annualfractionnoflow,National,4
wuse_mm,54.39442094433491,annualfractionnoflow,National,4
clayave,45.11761706483392,annualfractionnoflow,National,5
drain_sqkm,55.3263117788321,annualfractionnoflow,National,5
elev_mean_m_basin,39.17671728916472,annualfractionnoflow,National,5
irrig_prc,61.27543215164297,annualfractionnoflow,National,5
lulc_ag_prc,37.74734941246055,annualfractionnoflow,National,5
lulc_barren_prc,51.02567534209689,annualfractionnoflow,National,5
lulc_dev_prc,55.1903122481239,annualfractionnoflow,National,5
lulc_forest_prc,55.4266431519599,annualfractionnoflow,National,5
lulc_grass_prc,43.44751350909542,annualfractionnoflow,National,5
lulc_water_prc,56.866279406507914,annualfractionnoflow,National,5
lulc_wetland_prc,43.40216380310708,annualfractionnoflow,National,5
p.pet_cy.previous,97.29322912274382,annualfractionnoflow,National,5
permave,55.24440337009083,annualfractionnoflow,National,5
porosity,40.45980553693908,annualfractionnoflow,National,5
sandave,52.55056352479887,annualfractionnoflow,National,5
siltave,51.51684513330285,annualfractionnoflow,National,5
slope_pct,48.074610142779704,annualfractionnoflow,National,5
wuse_mm,65.74533830033381,annualfractionnoflow,National,5
clayave,23.056589353820314,annualfractionnoflow,North Great Plains,1
depth_bedrock_m,17.145405826771043,annualfractionnoflow,North Great Plains,1
lulc_ag_prc,23.146398079033084,annualfractionnoflow,North Great Plains,1
lulc_barren_prc,25.5084829472005,annualfractionnoflow,North Great Plains,1
lulc_forest_prc,33.83894954382639,annualfractionnoflow,North Great Plains,1
lulc_water_prc,18.874460648630805,annualfractionnoflow,North Great Plains,1
p.pet_amj,19.156144218693925,annualfractionnoflow,North Great Plains,1
p.pet_cy,21.939269867644885,annualfractionnoflow,North Great Plains,1
p.pet_cy.previous,19.839478974221542,annualfractionnoflow,North Great Plains,1
p_mm_cy,35.44934454126514,annualfractionnoflow,North Great Plains,1
p_mm_cy.previous,19.543561703346693,annualfractionnoflow,North Great Plains,1
permave,19.953510816862103,annualfractionnoflow,North Great Plains,1
pet_mm_amj,17.020961016515827,annualfractionnoflow,North Great Plains,1
pet_mm_amj.previous,19.55087909520471,annualfractionnoflow,North Great Plains,1
pet_mm_cy.previous,19.859161303271254,annualfractionnoflow,North Great Plains,1
porosity,27.301253972937857,annualfractionnoflow,North Great Plains,1
T_max_c_amj.previous,17.11517814633422,annualfractionnoflow,North Great Plains,1
topwet,22.564432584885207,annualfractionnoflow,North Great Plains,1
clayave,27.520480444009813,annualfractionnoflow,North Great Plains,2
depth_bedrock_m,21.921104763647342,annualfractionnoflow,North Great Plains,2
lulc_ag_prc,24.845976593571347,annualfractionnoflow,North Great Plains,2
lulc_barren_prc,19.16591664042687,annualfractionnoflow,North Great Plains,2
lulc_forest_prc,30.71360389418473,annualfractionnoflow,North Great Plains,2
lulc_water_prc,19.797521104554693,annualfractionnoflow,North Great Plains,2
p.pet_amj,20.407743121992,annualfractionnoflow,North Great Plains,2
p.pet_cy,19.728059162912096,annualfractionnoflow,North Great Plains,2
p.pet_cy.previous,20.501918395925035,annualfractionnoflow,North Great Plains,2
p_mm_cy,33.30121324707864,annualfractionnoflow,North Great Plains,2
p_mm_cy.previous,22.17171389542448,annualfractionnoflow,North Great Plains,2
permave,21.357228076235764,annualfractionnoflow,North Great Plains,2
pet_mm_amj,18.11745359659939,annualfractionnoflow,North Great Plains,2
pet_mm_amj.previous,15.220417601446417,annualfractionnoflow,North Great Plains,2
pet_mm_cy.previous,21.568791491046266,annualfractionnoflow,North Great Plains,2
porosity,13.549815087420994,annualfractionnoflow,North Great Plains,2
T_max_c_amj.previous,17.38782606416079,annualfractionnoflow,North Great Plains,2
topwet,21.505511314944997,annualfractionnoflow,North Great Plains,2
clayave,25.5438000119898,annualfractionnoflow,North Great Plains,3
depth_bedrock_m,16.411827444554582,annualfractionnoflow,North Great Plains,3
lulc_ag_prc,25.71983611165757,annualfractionnoflow,North Great Plains,3
lulc_barren_prc,26.732432692743657,annualfractionnoflow,North Great Plains,3
lulc_forest_prc,33.67486155456757,annualfractionnoflow,North Great Plains,3
lulc_water_prc,20.581715448435435,annualfractionnoflow,North Great Plains,3
p.pet_amj,17.235396939250165,annualfractionnoflow,North Great Plains,3
p.pet_cy,19.463666870557915,annualfractionnoflow,North Great Plains,3
p.pet_cy.previous,19.54964219672085,annualfractionnoflow,North Great Plains,3
p_mm_cy,32.158614972561175,annualfractionnoflow,North Great Plains,3
p_mm_cy.previous,21.567528478587796,annualfractionnoflow,North Great Plains,3
permave,23.27317044484899,annualfractionnoflow,North Great Plains,3
pet_mm_amj,15.785008021694281,annualfractionnoflow,North Great Plains,3
pet_mm_amj.previous,18.233582743688448,annualfractionnoflow,North Great Plains,3
