predictor,ImpCondPerm,metric
pet_mm_cy,0.009322973069394534,tau_annualnoflowdays
pet_mm_amj,0.008849660600740631,tau_annualnoflowdays
pet_mm_ond,0.007277622504469072,tau_annualnoflowdays
tau_p.pet_jfm,0.006708028545849078,tau_annualnoflowdays
tau_pet_mm_amj,0.006230869417466535,tau_annualnoflowdays
p.pet_amj,0.005752341200155755,tau_annualnoflowdays
tau_p.pet_cy,0.005584541930277427,tau_annualnoflowdays
tau_p.pet_amj,0.005383590934379467,tau_annualnoflowdays
p_mm_ond,0.005153462104926996,tau_annualnoflowdays
T_max_c_cy,0.004662692363948181,tau_annualnoflowdays
tau_p_mm_jfm,0.004581312148716469,tau_annualnoflowdays
T_max_c_jas,0.004537774085042734,tau_annualnoflowdays
awcave,0.0039909748797049794,tau_annualnoflowdays
lulc_ag_prc,0.0038835870149629774,tau_annualnoflowdays
tau_pet_mm_cy,0.0036843386661935037,tau_annualnoflowdays
tau_T_max_c_cy,0.0036835285711795443,tau_annualnoflowdays
p.pet_cy,0.0035585977478578504,tau_annualnoflowdays
pet_mm_jas,0.003460184757996731,tau_annualnoflowdays
lulc_grass_prc,0.0031499930912357674,tau_annualnoflowdays
swe.p_jfm,0.0030917711959277945,tau_annualnoflowdays
p.pet_ond,0.003087527275872722,tau_annualnoflowdays
elev_mean_m_basin,0.0030799450260910587,tau_annualnoflowdays
lulc_water_prc,0.0030424402912582627,tau_annualnoflowdays
swe_mm_cy,0.002758823250317409,tau_annualnoflowdays
swe.p_ond,0.002750938627321097,tau_annualnoflowdays
slope_pct,0.00263612169002431,tau_annualnoflowdays
tau_pet_mm_jas,0.002491596130044219,tau_annualnoflowdays
p.pet_jas,0.0023578451476247305,tau_annualnoflowdays
tau_p.pet_ond,0.0023561110268977086,tau_annualnoflowdays
topwet,0.00229914601843137,tau_annualnoflowdays
siltave,0.0021187019915991697,tau_annualnoflowdays
lulc_forest_prc,0.0019892985855345154,tau_annualnoflowdays
swe.p_cy,0.0019494999510906862,tau_annualnoflowdays
p_mm_jfm,0.001862792125397161,tau_annualnoflowdays
tau_swe_mm_cy,0.0018253081154646054,tau_annualnoflowdays
tau_swe_mm_ond,0.0015619801109008017,tau_annualnoflowdays
tau_p.pet_jas,0.0015574298328478232,tau_annualnoflowdays
swe.p_amj,0.001502242885342959,tau_annualnoflowdays
irrig_prc,0.0013661251353701952,tau_annualnoflowdays
porosity,0.001302631492902613,tau_annualnoflowdays
majordams_n,8.997524433297412e-4,tau_annualnoflowdays
dams_n,8.979663781997008e-4,tau_annualnoflowdays
tau_swe.p_amj,7.710671758414389e-4,tau_annualnoflowdays
lulc_wetland_prc,7.485563673340001e-4,tau_annualnoflowdays
depth_bedrock_m,7.413380413472161e-4,tau_annualnoflowdays
tau_T_max_c_jas,7.334605269659026e-4,tau_annualnoflowdays
p.pet_jfm,6.996205027198458e-4,tau_annualnoflowdays
wuse_mm,6.324877722620886e-4,tau_annualnoflowdays
permave,6.087548996555135e-4,tau_annualnoflowdays
lulc_dev_prc,5.961768889128852e-4,tau_annualnoflowdays
drain_sqkm,5.443898920849885e-4,tau_annualnoflowdays
tau_swe.p_ond,4.228110064576046e-4,tau_annualnoflowdays
tau_pet_mm_ond,-6.0849109798461386e-5,tau_annualnoflowdays
tau_swe.p_jfm,-6.110990006165219e-5,tau_annualnoflowdays
lulc_barren_prc,-9.643027545259628e-5,tau_annualnoflowdays
swe_mm_ond,-1.135363298100222e-4,tau_annualnoflowdays
clayave,-2.202895618313242e-4,tau_annualnoflowdays
tau_p_mm_ond,-4.127582471463061e-4,tau_annualnoflowdays
tau_swe.p_cy,-0.0016592782099230582,tau_annualnoflowdays
tau_pet_mm_cy,0.0028016463153686735,tau_peak2z_length
permave,0.001985097001157351,tau_peak2z_length
clayave,0.0011815267059277976,tau_peak2z_length
tau_pet_mm_ond,0.0011103275128266032,tau_peak2z_length
tau_swe.p_amj,9.470235010040434e-4,tau_peak2z_length
p.pet_jas,8.132344514097598e-4,tau_peak2z_length
p.pet_ond,6.69356022787615e-4,tau_peak2z_length
