mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric
1,250,3,mae,standard,0.15087172311006236,5,0.009752247675971918,Model001,annualnoflowdays
1,250,3,rmse,standard,0.19864313762046343,5,0.013760116749598508,Model001,annualnoflowdays
1,250,3,rsq,standard,0.2654448514906353,5,0.03794796647325129,Model001,annualnoflowdays
1,450,3,mae,standard,0.1517580219253845,5,0.009932308461490362,Model002,annualnoflowdays
1,450,3,rmse,standard,0.19867124320342378,5,0.014295571670064504,Model002,annualnoflowdays
1,450,3,rsq,standard,0.26548546007461815,5,0.04156278285737854,Model002,annualnoflowdays
1,650,3,mae,standard,0.15149396834687415,5,0.00965263429107079,Model003,annualnoflowdays
1,650,3,rmse,standard,0.19846071477085483,5,0.014004154519967312,Model003,annualnoflowdays
1,650,3,rsq,standard,0.26743011601385575,5,0.03970414713600057,Model003,annualnoflowdays
1,850,3,mae,standard,0.15050940465435536,5,0.009871429569118375,Model004,annualnoflowdays
1,850,3,rmse,standard,0.1975551956358466,5,0.014059082621469762,Model004,annualnoflowdays
1,850,3,rsq,standard,0.27300335011075927,5,0.04014793821869824,Model004,annualnoflowdays
1,1050,3,mae,standard,0.15033289898902932,5,0.00989255276638418,Model005,annualnoflowdays
1,1050,3,rmse,standard,0.19785613029081692,5,0.014148117419057072,Model005,annualnoflowdays
1,1050,3,rsq,standard,0.27110595407254773,5,0.04141308954507323,Model005,annualnoflowdays
1,1250,3,mae,standard,0.15039529595959292,5,0.01012752712701017,Model006,annualnoflowdays
1,1250,3,rmse,standard,0.19770267210040232,5,0.014322605413963513,Model006,annualnoflowdays
1,1250,3,rsq,standard,0.27229694397159504,5,0.04195091820694866,Model006,annualnoflowdays
1,1450,3,mae,standard,0.15089660855543838,5,0.00999090624940197,Model007,annualnoflowdays
1,1450,3,rmse,standard,0.1979321532318048,5,0.01443581814838168,Model007,annualnoflowdays
1,1450,3,rsq,standard,0.2719451749871552,5,0.04324232836701536,Model007,annualnoflowdays
1,1650,3,mae,standard,0.15035617688761724,5,0.009941107908704233,Model008,annualnoflowdays
1,1650,3,rmse,standard,0.19793142608879502,5,0.014203714804421556,Model008,annualnoflowdays
1,1650,3,rsq,standard,0.2703887888580646,5,0.0408698671550279,Model008,annualnoflowdays
2,250,3,mae,standard,0.15088155746469173,5,0.009654488920933532,Model009,annualnoflowdays
2,250,3,rmse,standard,0.19835283944132834,5,0.013738956465893357,Model009,annualnoflowdays
2,250,3,rsq,standard,0.2688046146007566,5,0.038504552860895463,Model009,annualnoflowdays
2,450,3,mae,standard,0.15088776262237397,5,0.00950775495862704,Model010,annualnoflowdays
2,450,3,rmse,standard,0.19858422868248965,5,0.014166900068119105,Model010,annualnoflowdays
2,450,3,rsq,standard,0.26767883878329884,5,0.04064994576313981,Model010,annualnoflowdays
2,650,3,mae,standard,0.15098199615715735,5,0.009671302875864657,Model011,annualnoflowdays
2,650,3,rmse,standard,0.19811376680936546,5,0.014410976029678165,Model011,annualnoflowdays
2,650,3,rsq,standard,0.27132325931260515,5,0.04274665638704052,Model011,annualnoflowdays
2,850,3,mae,standard,0.1514655732157156,5,0.010136091298706811,Model012,annualnoflowdays
2,850,3,rmse,standard,0.19916872312732206,5,0.014417162031832933,Model012,annualnoflowdays
2,850,3,rsq,standard,0.2633969092240764,5,0.042138645414844036,Model012,annualnoflowdays
2,1050,3,mae,standard,0.15086931588951968,5,0.009782780785415088,Model013,annualnoflowdays
2,1050,3,rmse,standard,0.19833552844758262,5,0.014227605657525108,Model013,annualnoflowdays
2,1050,3,rsq,standard,0.2697497281396401,5,0.04193538906702149,Model013,annualnoflowdays
2,1250,3,mae,standard,0.15118354923431365,5,0.009854160548442606,Model014,annualnoflowdays
2,1250,3,rmse,standard,0.19831363070595726,5,0.014340979796039594,Model014,annualnoflowdays
2,1250,3,rsq,standard,0.27021554888098553,5,0.042767456680249165,Model014,annualnoflowdays
2,1450,3,mae,standard,0.1507923041469908,5,0.00960907557627272,Model015,annualnoflowdays
2,1450,3,rmse,standard,0.19861514349707587,5,0.014119087867406512,Model015,annualnoflowdays
2,1450,3,rsq,standard,0.2677378041482102,5,0.040772905524849384,Model015,annualnoflowdays
