predictor,boruta_decision,boruta_imp_median,metric,region_rf
dams_n,Confirmed,18.21583242317236,annualfractionnoflow,National
maxstorage_af,Confirmed,20.294369817688356,annualfractionnoflow,National
normstorage_af,Confirmed,20.27490320706802,annualfractionnoflow,National
majordams_n,Confirmed,17.021654773415595,annualfractionnoflow,National
wuse_mm,Confirmed,25.21324509685644,annualfractionnoflow,National
irrig_prc,Confirmed,20.603482196200147,annualfractionnoflow,National
lulc_water_prc,Confirmed,21.71225052957956,annualfractionnoflow,National
lulc_dev_prc,Confirmed,24.136709630357565,annualfractionnoflow,National
lulc_wetland_prc,Confirmed,20.640238739677198,annualfractionnoflow,National
lulc_forest_prc,Confirmed,25.38600403039191,annualfractionnoflow,National
lulc_barren_prc,Confirmed,23.25366462366026,annualfractionnoflow,National
lulc_grass_prc,Confirmed,23.330494215389475,annualfractionnoflow,National
lulc_ag_prc,Confirmed,19.31643957667342,annualfractionnoflow,National
drain_sqkm,Confirmed,31.21289704587888,annualfractionnoflow,National
elev_mean_m_basin,Confirmed,20.74310223813655,annualfractionnoflow,National
slope_pct,Confirmed,21.373969233500475,annualfractionnoflow,National
awcave,Confirmed,14.541921017788525,annualfractionnoflow,National
permave,Confirmed,29.126492901221194,annualfractionnoflow,National
topwet,Confirmed,18.796431565858445,annualfractionnoflow,National
depth_bedrock_m,Confirmed,23.836864217692266,annualfractionnoflow,National
porosity,Confirmed,26.585297892864425,annualfractionnoflow,National
storage_m,Confirmed,24.039107483416377,annualfractionnoflow,National
clayave,Confirmed,26.378312420912515,annualfractionnoflow,National
siltave,Confirmed,26.880126820887575,annualfractionnoflow,National
sandave,Confirmed,27.28896325464242,annualfractionnoflow,National
p_mm_cy,Confirmed,16.243109331721737,annualfractionnoflow,National
p_mm_jas,Confirmed,16.454381018910922,annualfractionnoflow,National
p_mm_ond,Confirmed,13.21702663043544,annualfractionnoflow,National
p_mm_jfm,Confirmed,14.42067920737385,annualfractionnoflow,National
p_mm_amj,Confirmed,15.297828649695834,annualfractionnoflow,National
pet_mm_cy,Confirmed,15.005126618912035,annualfractionnoflow,National
pet_mm_jas,Confirmed,14.238906434787971,annualfractionnoflow,National
pet_mm_ond,Confirmed,11.811767937405872,annualfractionnoflow,National
pet_mm_jfm,Confirmed,10.46117152466473,annualfractionnoflow,National
pet_mm_amj,Confirmed,16.467253939730714,annualfractionnoflow,National
T_max_c_cy,Confirmed,15.307300103749547,annualfractionnoflow,National
T_max_c_jas,Confirmed,17.056984785806524,annualfractionnoflow,National
T_max_c_ond,Confirmed,13.327039611544327,annualfractionnoflow,National
T_max_c_jfm,Confirmed,11.785224075187172,annualfractionnoflow,National
T_max_c_amj,Confirmed,15.412385245228887,annualfractionnoflow,National
swe_mm_cy,Confirmed,10.751521929218315,annualfractionnoflow,National
swe_mm_jas,Tentative,2.898492212114788,annualfractionnoflow,National
swe_mm_ond,Confirmed,10.444928845014283,annualfractionnoflow,National
swe_mm_jfm,Confirmed,10.144305449300923,annualfractionnoflow,National
swe_mm_amj,Confirmed,8.81447440606017,annualfractionnoflow,National
p.pet_cy,Confirmed,17.18005540869789,annualfractionnoflow,National
swe.p_cy,Confirmed,12.060171634345542,annualfractionnoflow,National
p.pet_jfm,Confirmed,12.596866003841631,annualfractionnoflow,National
swe.p_jfm,Confirmed,10.67312328528907,annualfractionnoflow,National
p.pet_amj,Confirmed,17.127750514460196,annualfractionnoflow,National
swe.p_amj,Confirmed,8.986717692415269,annualfractionnoflow,National
p.pet_jas,Confirmed,17.139169206114598,annualfractionnoflow,National
swe.p_jas,Confirmed,3.7653675096015102,annualfractionnoflow,National
p.pet_ond,Confirmed,11.028726213381049,annualfractionnoflow,National
swe.p_ond,Confirmed,11.6066937591653,annualfractionnoflow,National
