mtry,trees,min_n,.metric,.estimator,mean,n,std_err,.config,metric,region_rf
1,250,3,mae,standard,41.790255507909144,5,0.5267948621382611,Preprocessor1_Model001,annualnoflowdays,National
1,250,3,rmse,standard,58.024891730193,5,0.7653704997271678,Preprocessor1_Model001,annualnoflowdays,National
1,250,3,rsq,standard,0.7365033694433863,5,0.007427668921202836,Preprocessor1_Model001,annualnoflowdays,National
1,450,3,mae,standard,41.66827548801058,5,0.5134895020184113,Preprocessor1_Model002,annualnoflowdays,National
1,450,3,rmse,standard,57.92802201379262,5,0.7249224365138877,Preprocessor1_Model002,annualnoflowdays,National
1,450,3,rsq,standard,0.7370577275318714,5,0.006821849018098953,Preprocessor1_Model002,annualnoflowdays,National
1,650,3,mae,standard,41.70130927374151,5,0.5038819185633134,Preprocessor1_Model003,annualnoflowdays,National
1,650,3,rmse,standard,57.88172318548375,5,0.7425913267466494,Preprocessor1_Model003,annualnoflowdays,National
1,650,3,rsq,standard,0.7381406703778157,5,0.0071539933652324745,Preprocessor1_Model003,annualnoflowdays,National
1,850,3,mae,standard,41.63775258956053,5,0.5195350340567952,Preprocessor1_Model004,annualnoflowdays,National
1,850,3,rmse,standard,57.83920811963811,5,0.7509558898938214,Preprocessor1_Model004,annualnoflowdays,National
1,850,3,rsq,standard,0.7384040098754493,5,0.007039625842545206,Preprocessor1_Model004,annualnoflowdays,National
1,1050,3,mae,standard,41.6433216911608,5,0.4916161107562314,Preprocessor1_Model005,annualnoflowdays,National
1,1050,3,rmse,standard,57.83029028126318,5,0.7320940966410908,Preprocessor1_Model005,annualnoflowdays,National
1,1050,3,rsq,standard,0.7385550332869283,5,0.006905286478841812,Preprocessor1_Model005,annualnoflowdays,National
1,1250,3,mae,standard,41.682801282333365,5,0.5078712681958603,Preprocessor1_Model006,annualnoflowdays,National
1,1250,3,rmse,standard,57.888431500990684,5,0.7508087911946639,Preprocessor1_Model006,annualnoflowdays,National
1,1250,3,rsq,standard,0.7377661316223937,5,0.007112966882847899,Preprocessor1_Model006,annualnoflowdays,National
1,1450,3,mae,standard,41.720234260690404,5,0.5066570018295948,Preprocessor1_Model007,annualnoflowdays,National
1,1450,3,rmse,standard,57.904046852150934,5,0.7407265702281721,Preprocessor1_Model007,annualnoflowdays,National
1,1450,3,rsq,standard,0.7380647229648645,5,0.007061656961594974,Preprocessor1_Model007,annualnoflowdays,National
1,1650,3,mae,standard,41.71223438257676,5,0.5273564806364822,Preprocessor1_Model008,annualnoflowdays,National
1,1650,3,rmse,standard,57.89090075559977,5,0.7567211102476659,Preprocessor1_Model008,annualnoflowdays,National
1,1650,3,rsq,standard,0.7380301317029343,5,0.0070741072471170695,Preprocessor1_Model008,annualnoflowdays,National
2,250,3,mae,standard,39.48404942295123,5,0.4726268687596078,Preprocessor1_Model009,annualnoflowdays,National
2,250,3,rmse,standard,55.840917484329246,5,0.7237440690610786,Preprocessor1_Model009,annualnoflowdays,National
2,250,3,rsq,standard,0.7515079560291086,5,0.0062848760258897435,Preprocessor1_Model009,annualnoflowdays,National
2,450,3,mae,standard,39.403734677244536,5,0.5073692081516591,Preprocessor1_Model010,annualnoflowdays,National
2,450,3,rmse,standard,55.69832330874324,5,0.7744317702917531,Preprocessor1_Model010,annualnoflowdays,National
2,450,3,rsq,standard,0.7531531352233578,5,0.006826250117057135,Preprocessor1_Model010,annualnoflowdays,National
2,650,3,mae,standard,39.42641590487956,5,0.4907054784936227,Preprocessor1_Model011,annualnoflowdays,National
2,650,3,rmse,standard,55.70887827879763,5,0.7339524630556812,Preprocessor1_Model011,annualnoflowdays,National
2,650,3,rsq,standard,0.7531130684936729,5,0.006400246309989695,Preprocessor1_Model011,annualnoflowdays,National
2,850,3,mae,standard,39.38817177974063,5,0.48205529008436837,Preprocessor1_Model012,annualnoflowdays,National
2,850,3,rmse,standard,55.603779543402965,5,0.7305310901603105,Preprocessor1_Model012,annualnoflowdays,National
2,850,3,rsq,standard,0.7541654124726913,5,0.006404590533063492,Preprocessor1_Model012,annualnoflowdays,National
2,1050,3,mae,standard,39.39583262197439,5,0.4875072586256937,Preprocessor1_Model013,annualnoflowdays,National
2,1050,3,rmse,standard,55.68585469243597,5,0.7420205715964765,Preprocessor1_Model013,annualnoflowdays,National
2,1050,3,rsq,standard,0.7532370385178909,5,0.006514885182877518,Preprocessor1_Model013,annualnoflowdays,National
2,1250,3,mae,standard,39.39276398956809,5,0.4796719817393195,Preprocessor1_Model014,annualnoflowdays,National
2,1250,3,rmse,standard,55.64679278821801,5,0.7196327850259008,Preprocessor1_Model014,annualnoflowdays,National
2,1250,3,rsq,standard,0.7537695440364874,5,0.006195272855042728,Preprocessor1_Model014,annualnoflowdays,National
2,1450,3,mae,standard,39.35969032052762,5,0.4726024532615537,Preprocessor1_Model015,annualnoflowdays,National
2,1450,3,rmse,standard,55.61539129853572,5,0.7105716317908075,Preprocessor1_Model015,annualnoflowdays,National
2,1450,3,rsq,standard,0.7540266175300162,5,0.006201640049039694,Preprocessor1_Model015,annualnoflowdays,National
2,1650,3,mae,standard,39.38778304570484,5,0.4867663990906996,Preprocessor1_Model016,annualnoflowdays,National
2,1650,3,rmse,standard,55.635220235205956,5,0.7142255844052513,Preprocessor1_Model016,annualnoflowdays,National
2,1650,3,rsq,standard,0.7539732675625831,5,0.006180566608260784,Preprocessor1_Model016,annualnoflowdays,National
3,250,3,mae,standard,39.252742007661944,5,0.45719798238584863,Preprocessor1_Model017,annualnoflowdays,National
3,250,3,rmse,standard,55.57442733026553,5,0.6722740481500166,Preprocessor1_Model017,annualnoflowdays,National
3,250,3,rsq,standard,0.7534610382846634,5,0.005771958694750189,Preprocessor1_Model017,annualnoflowdays,National
3,450,3,mae,standard,39.123234279186086,5,0.45767791141296316,Preprocessor1_Model018,annualnoflowdays,National
3,450,3,rmse,standard,55.38786326240149,5,0.6638157666740101,Preprocessor1_Model018,annualnoflowdays,National
3,450,3,rsq,standard,0.7552112356889273,5,0.005585249418704506,Preprocessor1_Model018,annualnoflowdays,National
3,650,3,mae,standard,39.144403594445436,5,0.46569144282961644,Preprocessor1_Model019,annualnoflowdays,National
3,650,3,rmse,standard,55.411585043544676,5,0.6758565618096161,Preprocessor1_Model019,annualnoflowdays,National
3,650,3,rsq,standard,0.7553410077300926,5,0.005626142387505444,Preprocessor1_Model019,annualnoflowdays,National
3,850,3,mae,standard,39.103971985208254,5,0.451556147908782,Preprocessor1_Model020,annualnoflowdays,National
3,850,3,rmse,standard,55.356173655262495,5,0.6752369993519834,Preprocessor1_Model020,annualnoflowdays,National
3,850,3,rsq,standard,0.7557427496423456,5,0.005707278482240154,Preprocessor1_Model020,annualnoflowdays,National
3,1050,3,mae,standard,39.146478934011675,5,0.46390386291171914,Preprocessor1_Model021,annualnoflowdays,National
3,1050,3,rmse,standard,55.38661686101986,5,0.672709687983127,Preprocessor1_Model021,annualnoflowdays,National
3,1050,3,rsq,standard,0.7556214691586574,5,0.005610044046109603,Preprocessor1_Model021,annualnoflowdays,National
3,1250,3,mae,standard,39.10563080173657,5,0.440033081611603,Preprocessor1_Model022,annualnoflowdays,National
3,1250,3,rmse,standard,55.33001333235896,5,0.6620173305762471,Preprocessor1_Model022,annualnoflowdays,National
3,1250,3,rsq,standard,0.75610542830826,5,0.005545916780771587,Preprocessor1_Model022,annualnoflowdays,National
3,1450,3,mae,standard,39.12334371211957,5,0.4522682129126522,Preprocessor1_Model023,annualnoflowdays,National
3,1450,3,rmse,standard,55.36985279586995,5,0.671506441300138,Preprocessor1_Model023,annualnoflowdays,National
3,1450,3,rsq,standard,0.7557584387094187,5,0.005655968839198283,Preprocessor1_Model023,annualnoflowdays,National
3,1650,3,mae,standard,39.15094091050649,5,0.43976009407867456,Preprocessor1_Model024,annualnoflowdays,National
3,1650,3,rmse,standard,55.41049805743679,5,0.6626410695899131,Preprocessor1_Model024,annualnoflowdays,National
3,1650,3,rsq,standard,0.7553979039026621,5,0.0055831065441251555,Preprocessor1_Model024,annualnoflowdays,National
4,250,3,mae,standard,39.17345939995557,5,0.4748575146216432,Preprocessor1_Model025,annualnoflowdays,National
4,250,3,rmse,standard,55.525165241107565,5,0.7193096059913473,Preprocessor1_Model025,annualnoflowdays,National
4,250,3,rsq,standard,0.7536346941704919,5,0.006107016483653281,Preprocessor1_Model025,annualnoflowdays,National
4,450,3,mae,standard,39.11976772868061,5,0.4388905015381555,Preprocessor1_Model026,annualnoflowdays,National
4,450,3,rmse,standard,55.4392415001673,5,0.6380289841988925,Preprocessor1_Model026,annualnoflowdays,National
4,450,3,rsq,standard,0.7546154469859562,5,0.005370181063602145,Preprocessor1_Model026,annualnoflowdays,National
4,650,3,mae,standard,39.11521621051541,5,0.4622997707423224,Preprocessor1_Model027,annualnoflowdays,National
4,650,3,rmse,standard,55.38095499656662,5,0.6642937475126904,Preprocessor1_Model027,annualnoflowdays,National
4,650,3,rsq,standard,0.7550987601415631,5,0.005455785424226561,Preprocessor1_Model027,annualnoflowdays,National
4,850,3,mae,standard,39.13495084861378,5,0.4277174942793683,Preprocessor1_Model028,annualnoflowdays,National
4,850,3,rmse,standard,55.3827926240714,5,0.6349319209458982,Preprocessor1_Model028,annualnoflowdays,National
4,850,3,rsq,standard,0.755313610147894,5,0.0052559791135658885,Preprocessor1_Model028,annualnoflowdays,National
4,1050,3,mae,standard,39.153138523863895,5,0.4429175462796791,Preprocessor1_Model029,annualnoflowdays,National
4,1050,3,rmse,standard,55.42410443371279,5,0.6440675174009242,Preprocessor1_Model029,annualnoflowdays,National
4,1050,3,rsq,standard,0.7550258803497899,5,0.005383156739990928,Preprocessor1_Model029,annualnoflowdays,National
4,1250,3,mae,standard,39.127375902031034,5,0.4301522029743242,Preprocessor1_Model030,annualnoflowdays,National
4,1250,3,rmse,standard,55.41075811235509,5,0.6261196649566297,Preprocessor1_Model030,annualnoflowdays,National
4,1250,3,rsq,standard,0.7551059172715656,5,0.00511912087874385,Preprocessor1_Model030,annualnoflowdays,National
4,1450,3,mae,standard,39.12467914854419,5,0.4438304162808114,Preprocessor1_Model031,annualnoflowdays,National
4,1450,3,rmse,standard,55.38888869234508,5,0.6509851392628265,Preprocessor1_Model031,annualnoflowdays,National
4,1450,3,rsq,standard,0.7552365619656047,5,0.005351906368184646,Preprocessor1_Model031,annualnoflowdays,National
4,1650,3,mae,standard,39.09247589566664,5,0.4378642631861385,Preprocessor1_Model032,annualnoflowdays,National
4,1650,3,rmse,standard,55.379538214116764,5,0.634711243782031,Preprocessor1_Model032,annualnoflowdays,National
4,1650,3,rsq,standard,0.7553278223022687,5,0.00518720094858341,Preprocessor1_Model032,annualnoflowdays,National
6,250,3,mae,standard,39.363100797943595,5,0.4563480352997403,Preprocessor1_Model033,annualnoflowdays,National
6,250,3,rmse,standard,55.84386828237341,5,0.6289416031664053,Preprocessor1_Model033,annualnoflowdays,National
6,250,3,rsq,standard,0.7501654268113995,5,0.0050169470121921,Preprocessor1_Model033,annualnoflowdays,National
6,450,3,mae,standard,39.32632418517471,5,0.4159296653212457,Preprocessor1_Model034,annualnoflowdays,National
6,450,3,rmse,standard,55.7651864091405,5,0.5741393356905343,Preprocessor1_Model034,annualnoflowdays,National
6,450,3,rsq,standard,0.7509487363993718,5,0.004529430736837031,Preprocessor1_Model034,annualnoflowdays,National
6,650,3,mae,standard,39.27416343975686,5,0.4230342649018042,Preprocessor1_Model035,annualnoflowdays,National
6,650,3,rmse,standard,55.70568036192165,5,0.5788534230545366,Preprocessor1_Model035,annualnoflowdays,National
6,650,3,rsq,standard,0.7517363306981002,5,0.004597546194526408,Preprocessor1_Model035,annualnoflowdays,National
6,850,3,mae,standard,39.300070111498066,5,0.4279752714360797,Preprocessor1_Model036,annualnoflowdays,National
6,850,3,rmse,standard,55.68809633706266,5,0.5998269362535702,Preprocessor1_Model036,annualnoflowdays,National
6,850,3,rsq,standard,0.7518899976933833,5,0.004849683024483246,Preprocessor1_Model036,annualnoflowdays,National
6,1050,3,mae,standard,39.213197974011166,5,0.3930790565153514,Preprocessor1_Model037,annualnoflowdays,National
6,1050,3,rmse,standard,55.60163500145217,5,0.5525951535200951,Preprocessor1_Model037,annualnoflowdays,National
6,1050,3,rsq,standard,0.7526768314931508,5,0.004428044146756677,Preprocessor1_Model037,annualnoflowdays,National
6,1250,3,mae,standard,39.25793220827902,5,0.4255051823074178,Preprocessor1_Model038,annualnoflowdays,National
6,1250,3,rmse,standard,55.642718962051426,5,0.6019422878368572,Preprocessor1_Model038,annualnoflowdays,National
6,1250,3,rsq,standard,0.7523351424277064,5,0.004845118333728876,Preprocessor1_Model038,annualnoflowdays,National
6,1450,3,mae,standard,39.25486160214011,5,0.42794494350124884,Preprocessor1_Model039,annualnoflowdays,National
6,1450,3,rmse,standard,55.60342238817667,5,0.6053542439815423,Preprocessor1_Model039,annualnoflowdays,National
6,1450,3,rsq,standard,0.7527393508683478,5,0.0048486480695307385,Preprocessor1_Model039,annualnoflowdays,National
6,1650,3,mae,standard,39.25190364838241,5,0.4087672597054707,Preprocessor1_Model040,annualnoflowdays,National
6,1650,3,rmse,standard,55.64177635610437,5,0.5620454404937051,Preprocessor1_Model040,annualnoflowdays,National
6,1650,3,rsq,standard,0.7523646858116582,5,0.00447772856378973,Preprocessor1_Model040,annualnoflowdays,National
7,250,3,mae,standard,39.39073140458607,5,0.3873133906606371,Preprocessor1_Model041,annualnoflowdays,National
7,250,3,rmse,standard,55.873883748757166,5,0.5143057043017157,Preprocessor1_Model041,annualnoflowdays,National
7,250,3,rsq,standard,0.7495617351744059,5,0.004039594015811399,Preprocessor1_Model041,annualnoflowdays,National
7,450,3,mae,standard,39.37035568276168,5,0.40847225899422335,Preprocessor1_Model042,annualnoflowdays,National
7,450,3,rmse,standard,55.846789058477306,5,0.5859397867635431,Preprocessor1_Model042,annualnoflowdays,National
7,450,3,rsq,standard,0.7501221836145202,5,0.004709223939565908,Preprocessor1_Model042,annualnoflowdays,National
7,650,3,mae,standard,39.27219744842085,5,0.3919303205696951,Preprocessor1_Model043,annualnoflowdays,National
7,650,3,rmse,standard,55.7156984830343,5,0.540375809408955,Preprocessor1_Model043,annualnoflowdays,National
7,650,3,rsq,standard,0.7514113089032222,5,0.004271725135089416,Preprocessor1_Model043,annualnoflowdays,National
7,850,3,mae,standard,39.34072056479233,5,0.3858857205316333,Preprocessor1_Model044,annualnoflowdays,National
7,850,3,rmse,standard,55.81064053625096,5,0.5366712298259179,Preprocessor1_Model044,annualnoflowdays,National
7,850,3,rsq,standard,0.7505496568579015,5,0.004209402131254197,Preprocessor1_Model044,annualnoflowdays,National
7,1050,3,mae,standard,39.28681022933673,5,0.39193944616396503,Preprocessor1_Model045,annualnoflowdays,National
7,1050,3,rmse,standard,55.711620638976534,5,0.5594949778989987,Preprocessor1_Model045,annualnoflowdays,National
7,1050,3,rsq,standard,0.7514277109605957,5,0.004427636286304542,Preprocessor1_Model045,annualnoflowdays,National
