value,yhat,predictor,metric,region
-1.5738343045275718,122.11867418643493,p.pet_cy.previous,annualnoflowdays,National
-1.299812885019551,120.95065754216238,p.pet_cy.previous,annualnoflowdays,National
-1.02579146551153,113.21975601858864,p.pet_cy.previous,annualnoflowdays,National
-0.7517700460035093,101.40529970717269,p.pet_cy.previous,annualnoflowdays,National
-0.47774862649548844,82.64143238927747,p.pet_cy.previous,annualnoflowdays,National
-0.2037272069874676,73.42706708721042,p.pet_cy.previous,annualnoflowdays,National
0.07029421252055323,69.83059622892462,p.pet_cy.previous,annualnoflowdays,National
0.34431563202857407,67.49234193114475,p.pet_cy.previous,annualnoflowdays,National
0.6183370515365949,65.93094848634769,p.pet_cy.previous,annualnoflowdays,National
0.8923584710446155,65.10125188905683,p.pet_cy.previous,annualnoflowdays,National
1.1663798905526366,64.56428317805994,p.pet_cy.previous,annualnoflowdays,National
1.4404013100606576,64.73075857318273,p.pet_cy.previous,annualnoflowdays,National
1.7144227295686782,65.05246211259048,p.pet_cy.previous,annualnoflowdays,National
1.9884441490766989,65.2144805710704,p.pet_cy.previous,annualnoflowdays,National
2.26246556858472,65.3910073181155,p.pet_cy.previous,annualnoflowdays,National
2.536486988092741,65.51763176784952,p.pet_cy.previous,annualnoflowdays,National
2.8105084076007616,65.57941280952048,p.pet_cy.previous,annualnoflowdays,National
3.084529827108782,65.64950329158837,p.pet_cy.previous,annualnoflowdays,National
3.358551246616803,65.65052752781963,p.pet_cy.previous,annualnoflowdays,National
3.6325726661248243,65.65391172945957,p.pet_cy.previous,annualnoflowdays,National
3.906594085632845,65.65107226020193,p.pet_cy.previous,annualnoflowdays,National
4.1806155051408656,65.65093780233283,p.pet_cy.previous,annualnoflowdays,National
4.454636924648887,65.64836006202209,p.pet_cy.previous,annualnoflowdays,National
4.728658344156908,65.64861283861708,p.pet_cy.previous,annualnoflowdays,National
5.002679763664928,65.64851319611476,p.pet_cy.previous,annualnoflowdays,National
