predictor,IncMSE,oobMSE,metric,region_rf
p.pet_cy.previous,3319.7655216060925,2855.682949656449,annualnoflowdays,National
lulc_water_prc,2697.2689997095895,2855.682949656449,annualnoflowdays,National
drain_sqkm,2360.5214841594006,2855.682949656449,annualnoflowdays,National
p.pet_amj,2178.2545094967545,2855.682949656449,annualnoflowdays,National
p.pet_jas,1635.8059789156925,2855.682949656449,annualnoflowdays,National
majordams_n,831.4005581037536,2855.682949656449,annualnoflowdays,National
permave,2156.8902995436088,2855.682949656449,annualnoflowdays,National
p.pet_cy,2561.0664420801877,2855.682949656449,annualnoflowdays,National
topwet,2125.6716886736463,2855.682949656449,annualnoflowdays,National
depth_bedrock_m,2489.9918361236005,2855.682949656449,annualnoflowdays,National
porosity,1577.7594413273805,2855.682949656449,annualnoflowdays,National
lulc_wetland_prc,1070.854569418781,2855.682949656449,annualnoflowdays,National
dams_n,1829.751975514665,2855.682949656449,annualnoflowdays,National
slope_pct,2254.3602488496563,2855.682949656449,annualnoflowdays,National
lulc_grass_prc,1920.7845373589996,2855.682949656449,annualnoflowdays,National
elev_mean_m_basin,2789.9928452324198,2855.682949656449,annualnoflowdays,National
clayave,1854.9856103359516,2855.682949656449,annualnoflowdays,National
siltave,1803.3282284480072,2855.682949656449,annualnoflowdays,National
pet_mm_amj,2111.6170361119725,2855.682949656449,annualnoflowdays,National
wuse_mm,1259.3136413247535,2855.682949656449,annualnoflowdays,National
lulc_dev_prc,1039.4559008809092,2855.682949656449,annualnoflowdays,National
lulc_forest_prc,1555.7070817965964,2855.682949656449,annualnoflowdays,National
awcave,1167.8638218731405,2855.682949656449,annualnoflowdays,National
p.pet_cy.previous,1214.3411685470815,2446.6971109291703,zeroflowfirst,National
p.pet_jfm.previous,889.3678588502676,2446.6971109291703,zeroflowfirst,National
p.pet_amj,406.3638538756464,2446.6971109291703,zeroflowfirst,National
p_mm_jfm.previous,528.6041940947167,2446.6971109291703,zeroflowfirst,National
pet_mm_ond.previous,809.7238620366858,2446.6971109291703,zeroflowfirst,National
pet_mm_amj,766.0875867779974,2446.6971109291703,zeroflowfirst,National
dams_n,289.0205516768101,2446.6971109291703,zeroflowfirst,National
p_mm_ond.previous,415.86091159130007,2446.6971109291703,zeroflowfirst,National
p.pet_ond.previous,612.4784891109148,2446.6971109291703,zeroflowfirst,National
awcave,228.36311601282281,2446.6971109291703,zeroflowfirst,National
pet_mm_cy,769.7102091806837,2446.6971109291703,zeroflowfirst,National
majordams_n,113.67207785744999,2446.6971109291703,zeroflowfirst,National
drain_sqkm,407.19685775886126,2446.6971109291703,zeroflowfirst,National
pet_mm_amj.previous,397.07293935622806,2446.6971109291703,zeroflowfirst,National
lulc_barren_prc,207.31048987521535,2446.6971109291703,zeroflowfirst,National
lulc_ag_prc,334.57529527943075,2446.6971109291703,zeroflowfirst,National
permave,384.74166042610375,2446.6971109291703,zeroflowfirst,National
depth_bedrock_m,539.3098415943382,2446.6971109291703,zeroflowfirst,National
irrig_prc,304.2995993913461,2446.6971109291703,zeroflowfirst,National
lulc_forest_prc,376.565658321076,2446.6971109291703,zeroflowfirst,National
elev_mean_m_basin,495.6685026660908,2446.6971109291703,zeroflowfirst,National
lulc_grass_prc,334.41865553385884,2446.6971109291703,zeroflowfirst,National
porosity,238.95251045724626,2446.6971109291703,zeroflowfirst,National
T_max_c_cy,485.2312844470785,2446.6971109291703,zeroflowfirst,National
p_mm_jas.previous,251.67870541093268,2446.6971109291703,zeroflowfirst,National
clayave,301.79973287872883,2446.6971109291703,zeroflowfirst,National
p_mm_amj.previous,286.55219066517134,2446.6971109291703,zeroflowfirst,National
slope_pct,419.2857347394906,2446.6971109291703,zeroflowfirst,National
siltave,303.92871893698157,2446.6971109291703,zeroflowfirst,National
lulc_water_prc,324.1381571902913,2446.6971109291703,zeroflowfirst,National
wuse_mm,339.8946151769591,2446.6971109291703,zeroflowfirst,National
pet_mm_jas.previous,276.104724513053,2446.6971109291703,zeroflowfirst,National
T_max_c_jas,194.96293646013305,2446.6971109291703,zeroflowfirst,National
p.pet_jas,270.5373371713787,2446.6971109291703,zeroflowfirst,National
pet_mm_jas,251.78932512729057,2446.6971109291703,zeroflowfirst,National
topwet,309.7912518612539,2446.6971109291703,zeroflowfirst,National
lulc_wetland_prc,171.25266305856303,246.0135777672278,peak2z_length,National
lulc_dev_prc,52.70554678863073,246.0135777672278,peak2z_length,National
wuse_mm,115.94434687523518,246.0135777672278,peak2z_length,National
lulc_grass_prc,118.52170857964008,246.0135777672278,peak2z_length,National
lulc_forest_prc,147.01854165748432,246.0135777672278,peak2z_length,National
permave,86.8337393083319,246.0135777672278,peak2z_length,National
drain_sqkm,140.00413574993757,246.0135777672278,peak2z_length,National
clayave,83.668842571534,246.0135777672278,peak2z_length,National
pet_mm_ond,72.02751512604286,246.0135777672278,peak2z_length,National
